Site,Block,Plot,ID,X ,Y,Number,0 cm,2.5 cm,5.0 cm,7.5 cm,10.0 cm,12.5 cm,15.0 cm,17.5 cm,20.0 cm,22.5 cm,25.0 cm,27.5 cm,30.0 cm,32.5 cm,35.0 cm,37.5 cm,40.0 cm,42.5 cm,45.0 cm,Cone Size
MCL,4,1,42,2,6,N= 43 ,34,138,552,1138,932,794,828,1138,1138,897,862,932,862,828,897,966,1173,932,794,1/2 Inch
MCL,4,1,43,3,6,N= 44 ,690,932,1414,1414,828,656,690,656,690,586,552,552,586,656,586,621,552,552,483,1/2 Inch
MCL,4,1,44,4,6,N= 45 ,483,656,1587,1760,1690,862,966,828,690,621,586,586,656,1725,2760,2277,2450,1725,1760,1/2 Inch
MCL,4,1,45,5,6,N= 47 ,310,276,794,1208,897,759,414,310,242,207,172,207,276,380,414,414,414,380,380,1/2 Inch
MCL,4,1,46,6,6,N= 48 ,138,104,242,1070,724,794,656,483,586,862,897,690,621,586,690,724,724,724,794,1/2 Inch
MCL,4,1,47,7,6,N= 49 ,310,276,345,621,1104,1070,1070,897,794,656,690,724,724,690,690,759,724,724,724,1/2 Inch
MCL,4,1,48,8,6,N= 50 ,172,34,0,104,276,138,586,862,897,656,586,448,483,656,552,414,448,586,483,1/2 Inch
MCL,4,1,49,1,7,N= 51 ,242,380,724,862,724,897,1276,1070,828,759,759,621,552,483,586,690,1208,656,621,1/2 Inch
MCL,4,1,50,2,7,N= 52 ,380,656,1242,1587,1000,656,448,414,345,310,242,690,794,759,966,897,932,759,724,1/2 Inch
MCL,4,1,51,3,7,N= 53 ,207,414,1173,1518,1346,1070,897,759,759,724,862,1414,1518,2829,2898,2139,1966,2174,2139,1/2 Inch
MCL,4,1,52,4,7,N= 54 ,345,483,828,1311,1000,862,586,586,552,656,724,794,862,794,690,656,724,794,828,1/2 Inch
MCL,4,1,53,5,7,N= 55 ,552,828,1449,1690,1276,759,414,483,483,345,276,242,242,414,483,552,690,690,690,1/2 Inch
MCL,4,1,54,6,7,N= 56 ,448,656,724,794,828,932,621,586,586,621,586,656,724,724,690,759,794,794,966,1/2 Inch
MCL,4,1,55,7,7,N= 58 ,414,380,656,1070,966,932,1242,1000,828,828,690,2139,0,0,0,0,0,0,0,1/2 Inch
MCL,4,1,56,8,7,N= 59 ,207,276,276,1104,1311,1208,1104,897,794,794,690,586,448,448,414,380,380,414,483,1/2 Inch
MCL,4,1,57,1,8,N= 60 ,380,656,1587,1932,1518,1104,1104,932,1380,1242,1070,966,1138,932,932,862,862,1104,1070,1/2 Inch
MCL,4,1,58,2,8,N= 61 ,448,586,1104,1449,1138,276,828,759,1622,1518,1346,1311,1484,1690,1449,1208,1070,862,1000,1/2 Inch
MCL,4,1,59,3,8,N= 62 ,276,448,724,759,552,448,414,380,276,310,345,380,414,414,483,621,759,2760,1898,1/2 Inch
MCL,4,1,60,4,8,N= 63 ,552,656,1138,1104,862,966,690,724,690,621,380,380,552,586,586,656,621,586,656,1/2 Inch
MCL,4,1,61,5,8,N= 64 ,448,690,1138,1484,1070,828,1380,1208,656,414,345,242,207,310,345,448,483,414,483,1/2 Inch
MCL,4,1,62,6,8,N= 65 ,448,552,1104,1276,1138,966,656,380,345,310,345,310,345,310,345,552,897,759,794,1/2 Inch
MCL,4,1,63,7,8,N= 66 ,345,552,932,1863,1484,1380,1173,1242,1173,966,621,483,552,483,483,483,448,414,448,1/2 Inch
MCL,4,1,64,8,8,N= 67 ,1000,794,1173,1794,1760,1966,1070,1173,656,759,1587,759,656,621,759,586,586,621,586,1/2 Inch
MCL,4,2,1,1,1,N= 1 ,345,345,1311,2001,1276,552,690,1070,1656,794,690,759,794,862,862,794,794,794,862,1/2 Inch
MCL,4,2,2,2,1,N= 2 ,242,207,242,414,448,932,1346,1242,932,1000,966,1000,1794,1138,1380,966,862,1518,1000,1/2 Inch
MCL,4,2,3,3,1,N= 3 ,276,448,1070,828,897,828,1484,1380,794,1070,1000,1070,1242,966,862,862,794,621,794,1/2 Inch
