,SiteName,BlockNo,PlotNo,Subplot.No,Subplot.X,Subplot.Y,X4.waygrass,achmol,aegtri,agohet,aircar,amsmen,anaarv,astragalus,avebar,avefat,bare,brimax,brimin,brocar,brodia,brohor,bromad,broster,calcil,callut,calpar,cardamine,carpac,casatt,cenmil,cenmil..not..,cerglo,clapur,collinsia,conarv,croset,cynech,daucpusil,delgra,delvar,diccap,dicmul,elygla,erobot,eupspa,filgal,galapa,galpar,gerdis,germol,greenbrush,hypgla,laccil,lacser,lagophylla,latsph,linbic,linpar,lolmul,lomatium,longawnbrome,lotmic,lotpur,lotus,lotwra,lupbic,luzcom,madgra,miccal,naspul,navpub,notago,oak,petdub,pink.cup.opposite,plalan,planot,poasecunda,purplecup,purpleflower,rancal,rock,sanbip,scapec,shearv,shieldseed,sidalcea,sisbel,taecap,thycur,torilis,trialbo,tribif,tricil,tridub,trieri,trifuc,trigra,trihir,trihya,trilax,trimicroceph,trimicrodon,triwhite,triwil,triwra,unkforb,unktar,vicsat,vicvil,vulmyu,whiterib,whorledtarweed,wood,zigadenus
1069,HREC,1,1,13,5,6,,,,,,,,,1,,,5,,,2,2,,,,,,,,,1,,,1,,,,,,,,1,,,3,1,,,1,2,2,,2,,,,2,,,,,,2,,,,2,,2,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,2,,,,,,
1085,HREC,1,1,13,5,8,,,3,,,,,,1,,,5,,,2,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
1038,HREC,1,1,14,6,2,,,,,,,,,2,,,5,,,2,2,,3,,,,,,,,,,1,,,,,2,,,,,,1,1,,,,3,,,,,,,1,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,2,,,1,,,,1,,,1,,,,,,,,1,,,,,,,2,,,,,,
1054,HREC,1,1,14,6,4,,,,,,,,,2,,,5,,,2,3,,2,,,,,,,,,,1,,,,,,,,,,,2,2,,,,3,,,,,,,1,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,2,,,,,,,,,,,,,,,2,,,,,,
1070,HREC,1,1,14,6,6,,,,,,,,,1,,,5,,,2,2,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,1,2,,,2,,,,2,,,,,,2,,,,2,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,
1086,HREC,1,1,14,6,8,,,3,,,,,,,,,5,,,3,2,,,,,,,,,1,,,1,,,,,,,,,,,2,,,,,1,1,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,
1039,HREC,1,1,15,7,2,,,3,,1,,,,1,,,6,,,,2,,1,,,,,1,,1,,,2,,,,,1,,,,,,,2,,,1,2,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,1,,,,2,,,2,,,,,,,,,,,,,,,2,,,,,,
1055,HREC,1,1,15,7,4,,,,,,,,,1,,,5,,,,2,,2,,,,,2,,,,,1,,,,,2,,,,,,1,1,,,,3,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,1,,,1,,,,1,,,1,,,,,,,,1,,,,,,,2,,,,,,
1071,HREC,1,1,15,7,6,,,2,,,,,,1,,,6,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,2,,,,,,,2,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,2,,,,,,
1087,HREC,1,1,15,7,8,,,,,,,,,,,,5,,,,2,,,,,,,1,,,,,,,,,,,,,1,,,2,,,,,1,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,
