"","4-waygrass","achmol","aegtri","agohet","aircar","amsmen","anaarv","avebar","avefat","bare","brimax","brimin","brocar","brodia","brohor","bromad","broster","calcil","callut","calpar","carpac","cardamine","casatt","cenmil","cenmil (not?)","cerglo","clapur","conarv","croset","cynech","daucpusil","delvar","diccap","dicmul","elygla","erobot","eupspa","filgal","galpar","gerdis","greenbrush","hypgla","laccil","lacser","lagophylla","latsph","linpar","lolmul","lomatium","longawnbrome","lotmic","lotpur","lotwra","lotus","lupbic","luzcom","madgra","miccal","naspul","navpub","notago","petdub","plalan","planot","poasecunda","purplecup","purpleflower","rancal","trihir","rock","shearv","shieldseed","sidalcea","sisbel","taecap","torilis","tribif","trialbo","tricil","tridub","trieri","trifuc","trigra","trihya","trilax","trimicroceph","trimicrodon","triwhite","triwil","triwra","vicsat","unktar","vicvil","vulmyu","whiterib","whorledtarweed","zigadenus","collinsia","delgra","galapa","germol","astragalus","linbic","oak","pink cup opposite","sanbip","scapec","thycur","unkforb","wood"
"1412","","","","","1","","","1","","8","","","","","","","","","","","","","","","","","2","","","","2","","2","","","","","","","","","","","","","","","","","","","3","","","1","","2","3","4","","","","","","","","","","","","","","1","2","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1428","","","","","","","","2","","5","","","","","4","","","","","","","","","","","","2","","","","2","","","","","","","","","","","","","","","","","","","","","2","","","","","4","2","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1444","","","","","","","","3","","5","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","4","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1460","","","","","","","","4","","2","","","","","2","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1413","","","","","2","","","1","","40","1","","","","","","","","","","","","","","","","2","","","","2","","","","","","","","1","","","","","","","","1","","","","","3","","","","","2","4","3","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1429","","","","","1","","","2","","","","","","","3","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","1","","","","","1","","","2","","3","4","2","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1445","","","","","","","","2","","","1","","","","2","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","4","","","","","","","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1461","","","","","","","","4","","5","2","","","","2","","","","","","","","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1414","","","","","","","","1","","60","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","3","","","2","","2","3","3","","","","","","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1430","","","","","","","","2","","7","","","","","3","","","","","","","","","","","","2","","","","2","","","","","","","","","","","","","","","","1","","","","","2","","","3","","2","4","3","1","","","","","","","","","","","","","","","","2","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1446","","","","","","","","1","","20","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1462","","","","","","","","4","","","2","","","","2","","","","","","","","","","","","3","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1415","","","","","","","","3","","40","","","","","","","","","","","","","","","","","3","","","","","","1","","","","","","","","","","","","","","","","","","","3","2","","1","","2","4","2","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1431","","","","","","","","2","","85","","","","","2","","","","","","","","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","","","2","","","2","","2","3","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1447","","","1","","","","","3","","","","","","","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","4","","4","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1463","","","","","","","","4","","","3","","","","2","","","","","","","","","","","","2","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
"1416","","","","","","","","4","","","","","","","","","","","","","","","","","","","3","","","","3","","","","","","","","","","","","","","","","","","","","","3","","","2","","2","4","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1432","","","","","","","","4","","20","","","","","2","","","","","","","","","","","","3","","","","","","1","","","","","","","","","","","","","","","","","","","2","","","","","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1448","","","","","","","","4","","","","","","","3","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1464","","","","","","","","4","","","2","","","","2","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","4","","","","","","","","","","","","","","","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1417","","","","","","","","1","","40","","","","","1","","","","","","","","","","","","2","","","","3","","","","","","","","","","","","","","","","","","","","","2","","","1","","4","4","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1433","","","","","","","","2","","8","","","","","2","","","","","","","","","","","","2","","","","3","","","","","","","","","","","","","","","","","","","","","","","","2","","5","2","3","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1449","","","","","","","","2","","2","","","","","3","","","","","","","","","","","","2","","","","4","","","","","","","","","","","","","","","","","","","","","","","","3","","4","","","","","","","","","","","","","","","","","","","1","","2","","","","","","","","2","","","","","","","","","","","","","","","1","","","","","","","","",""
"1465","","","","","","","","2","","","2","","","1","2","","","","","","","","","","","","2","","","","3","","","","","","","","1","","","","","","","","","","","","","","","","2","","4","","","2","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1473","","","4","","2","","","2","","","2","","","","2","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","2","","","4","","1","","","","","","","","","","","","","","","1","2","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1489","","","","","","","","3","","5","3","","","","4","","","","","","","","","","","","2","","","","2","","","","","","","","","","","","","","","","","","","","","1","","","2","","2","2","","","","","","","","","","","","","","","1","2","3","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1505","","","","","","","","2","","5","5","","","","2","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","1","2","","","2","","1","3","","","","","","","","","","","","","","","","3","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1521","","","","","","","","2","","","4","","","","3","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","2","","","2","","2","2","","","","","","","","","","","","","","","2","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
"1482","","","1","","2","","","4","","","3","","","","2","","","","","","","","","","","","2","","","","3","","","","","","","","","","","","","","","","","","","","2","2","","","3","","1","5","3","","","","","","","","","","","","","","2","","2","1","","","","","","","","","","2","","","","","","","","","","","","","","","1","","","","","","","","",""
"1498","","","","","","","","2","","","5","","","","2","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","3","2","","","","","","","","","","","","","","","","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1514","","2","","","","","","2","","","2","","","","4","","","","","","","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","1","3","","","2","","2","3","","","","","","","","","","","","","","","2","","2","2","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","",""
"1530","","","","","","","","2","","","2","","","1","3","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","2","","4","","","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1483","","1","","","1","","","4","","","3","","","","2","","","","","","","","","","","","2","","","","1","","1","","","","","","","","","","","","","","","","","","","2","","","","","3","3","","","","","","","","","","","","","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","",""
"1499","","","","","","","","2","","","4","","","","2","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","2","","","2","","3","2","","","","","","","","","","","","","","","1","","4","1","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","",""
"1515","","","","","","","","2","","","5","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","1","1","3","","","","","","","","","","","","","","","","3","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"1531","","","","","","","","2","","","3","","","","3","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","3","2","3","1","","","","","","","","","","","","","2","","","2","","","","","","","","","","2","1","","","","","","","","","","","","","","1","","","","","","","","",""
"1484","","2","","","1","","","3","","","4","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","2","","2","","3","4","","","","","","","","","","","","","","","2","","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1500","","","","","","","","2","","","4","","","","2","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","1","","","2","","","3","","","","","","","","","","","","","","","2","","4","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
"1516","","","","","","","","2","","","5","","","","2","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","","","","","","","","3","2","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","",""
"1532","1","1","","","","","","2","","","3","","","","3","","","","","","","","","","","","2","","","1","1","","","","","","","","","","","","","","","1","","","","","","","","","","","4","2","2","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"1485","","","","","2","","","2","","","5","","","","1","","","","","","","","","","","","1","","","","1","","1","","","","","","","","","","","","","","","","","","1","","2","","","","3","4","","","","","","","","","","","","","","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1501","","","","","2","","","2","","","4","","","","3","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","3","","","","","2","3","","1","","","","","","","","2","","","","","","","3","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","2","","","",""
"1517","","","","","","","","1","","","5","","","","1","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","3","","","","","","","","","","","","","","1","","3","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
"1533","","","","","1","","","1","","","4","","","1","2","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","2","1","4","1","","","","","","","","2","","","","","","1","","2","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"1486","","","","","1","","","2","","","4","","","","2","","","","","","","","","","","","2","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","4","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1502","","1","","","","","","2","","","5","","","","2","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","2","","1","","","","","","","","2","","","","","","","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","",""
"1518","","1","","","1","","","2","","","4","1","","","3","","","","","","","","","","","","","","","1","2","","","","","","","","1","","","","","","","","","","","","","2","","","","","","3","","","","","","","","","","2","","","","","2","","2","2","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","",""
"1534","2","","","","2","","","1","","","4","","","","2","","","","","","","","","","","","1","","","2","1","","","","1","","","","","","","","","","","3","1","","","","","","","","","","","1","2","1","","","","","","","","3","","","","","","","","2","","","","3","","","","","","1","","","","","","","","","","","","","","","1","","","","2","","","","",""
"1487","","","","","3","","","2","","","4","","","","1","","","","","","","","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","","1","","2","","","","","5","2","2","","","","","","","","","","","","","","2","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
"1503","","","","","","","","2","","","6","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","3","","","","","","","","","","","","","","","2","2","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"1519","","","","","1","","","2","","","5","","","","2","","","","","","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","1","","","","","","2","2","","","","","","","","","2","","","","","","1","2","2","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","",""
"1535","","","","","","","","","","","4","","","","1","","","","","","","","","","","","","","","1","1","","","","","","","","1","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","2","","","","2","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1488","","","","","2","","","1","","","5","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","2","","","","","","","","","","","","","","","","","3","1","","3","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1504","","","","","","","","2","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","4","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1520","","2","","","","","","1","","","5","","","","3","","","","","","","","","","","","1","","","2","","","","","2","","","","1","","","","","","","","","","","","","","","","1","","","","2","","","","","","","","","","","","","","","","1","2","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"1536","","","","","","","","","","","3","","1","","1","","","","","","","","","","","","1","","","2","2","","","","","","","","","","","","","","","4","","","","","","","","","","1","","1","","","","","","","","","","3","","","","","1","","","2","","","","2","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"1474","","","3","","1","","","4","","","2","","","","3","","","","","","","","","","","","1","","","1","2","","","","","","","","1","","","","","","","","","","","","2","2","","","2","","1","5","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1490","","","","","2","","","3","","","3","","","","3","","","","","","","","","","","","3","","","","2","","","","","","","","","","","","","","","","","","","","","2","2","","2","","3","3","","","","","","","","","","","","","","","","","2","2","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1506","","","","","","","","2","","","6","","","","1","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","2","","","2","","","1","2","","","","","","","","","","","","","","","2","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1522","","","","","","","","2","","","5","","","","1","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","2","","","","","2","","3","","","","","","","","","","","","","","1","","3","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
"1475","","","","","2","","","4","","","2","","","","1","","","","","","","","","","","","2","","","","2","","","","","","","","","","","","","","","","","","","","1","","","","2","","2","4","","1","","","","","","","","","","","","","","2","2","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1491","","","2","","1","","","3","","","3","","","","2","","","","","","","","","","","","2","","","","2","","","","","","","","","","","","","","","","","","","","1","2","","","3","","","4","","","","","","","","","","","","","","","1","1","3","1","","","","","","","","","","2","","","","","","","","","","","","","","","1","","","","","","","","",""
"1507","","","","","","","","1","","","5","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","1","","1","1","3","","","","","","","","","","","","","","","2","3","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"1523","","","","","","","","1","","","4","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","","","","","","","","","","","","","","","","3","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"1476","","","","","1","","","4","","","3","","","","1","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","1","2","","","2","","","4","","","","","","","","","","","","","","","","","2","1","2","2","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","",""
"1492","","1","","","","","","3","","","3","","","","2","","","","","","","","","","","","2","","","1","2","","1","","","","","","","","","","","","","","","","","","","","","","","","3","2","","","","","","","","","","","","","","","2","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1508","","","","","","","","2","","","5","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","2","","","","","","","","","2","","","","","","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1524","","1","","","","","","2","","","5","","","","2","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","1","","","","","","2","","","","","2","1","2","","","","","","","","","1","","","","","1","","1","1","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","",""
"1477","","","","","1","","","2","","","5","","","","","","","","","","","","","","","","2","","","","2","","","","","","","","","","","","","","","","","","","","1","2","","","","","","3","","","","","","","","","","","","","","","","","2","1","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1493","","","","","1","","","4","","","3","","","","2","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","1","3","2","","2","","","4","","1","","","","","","","","","","","","","","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1509","","1","","","","","","2","","","5","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","1","","","","","","","","","","2","","","","","","","3","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","",""
"1525","","","","","","","","2","","","4","","","","1","","","","","","","","","","","","","","","1","","","","","3","","","","1","","","","","","","1","","","","","","","","","","1","","2","3","","","","","","","","","2","","","","","","2","2","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"1478","","","","","1","","","2","","","5","","","","1","","","","","","","","","","","","1","","","1","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","4","2","","","","","","","","","","","","","","","2","2","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1494","","1","","","2","","","3","","","4","","","","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","2","","","2","","1","3","","","","","","","","","","","","","","","2","","3","2","","2","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","",""
"1510","","1","","","","","","3","","","5","","","","2","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","1","","","","","","2","","","2","","","2","","","","","","","","","","","","","","","","2","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1526","","","","","","","","2","","","5","","","","2","","","","","","","","","","","","","","","1","1","","","","2","","","","","","","","","","","","","","","","","","","","","1","","","3","","","","","","","","","","","","","","1","","1","1","","","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"1479","","","","","1","","","2","","","5","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","2","","","","","4","2","1","","","","","","","","","","","","","","","3","1","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1495","","","","","","","","2","","","4","","","","2","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","","","","","1","2","2","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1511","","1","","","1","","","2","","","5","","","","1","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","1","","","","","","","4","","","","","","","","","","","","","","","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1527","","","","","","","","1","","","5","","","","1","","","","","","","","","","","","","","","1","1","","","","2","","","","","","","","","","","2","","","","","","","","","","","","1","","","","","","","","","","2","","","","","","","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1480","","","","","1","","","2","","","5","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","2","","","","","4","3","1","","","","","","","","","","","","","","2","1","","","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"1496","","","","","","","","2","","","4","","","","2","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","1","","","","","","","","","","","","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1512","","","","","","","","2","","","5","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","3","","","","","","","","","2","","","","","","3","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1528","","","","","1","","","1","","","5","","","","","","","","","","","","","","","","","","","1","1","","","","2","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","3","","","","","","","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"1481","","","3","","2","","","4","","","2","","","","2","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","1","2","","","2","","3","5","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","",""
"1497","","","","","","","","2","","60","3","","","","2","","","","","","","","","","","","2","","","","2","","1","","","","","","","","","","","","","","","","","","","","","","2","","","4","2","","","","","","","","","","","","","","","2","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1513","","","","","","","","1","","","6","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","2","","","","","","","","","","","","","","","","","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1529","","","","","","","","3","","","3","","","","4","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","",""
"1","","","","","3","","","","","5","","","","","3","","","","","","","","","","","","","","","","","","1","","","1","","","1","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","4","","","","","","","","","","","3","","","","","","","","2","","","","","","2","","","","","","","","","","","","","","","",""
"17","","","","","2","","","2","","","","1","","","4","","","","","","","","","","","","","","","","","","","","","2","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","2","","","","","","","","3","","","2","","2","4","","","","","","","","","","","","","","","",""
"33","","","","","1","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","2","","","","","","4","","","","","1","","","","","","","","","","","2","","3","2","","","","","","","","","","","","","","","",""
"49","","","","","","","","1","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","3","","","","","","","","","","","","","","","","4","","5","2","","","","","","","","","","","","","","","",""
"10","","","","","2","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","2","","","","","","","","2","","","3","","3","4","","","","","","","","","","","","","","","",""
"26","","","","","2","","","","","7","","","","","4","","","","","","","","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","2","","","","","","2","","","","","2","","","","","","","","2","","","4","","3","3","","","","","","","","","","","","","","","",""
"42","","","","","1","","","","","","","1","","","4","","","","","","","","","","","","","","","","","","1","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","3","","","","","2","","","","","","","","","","","4","","3","2","","","","","","","","","","","","","","","",""
"58","","","","","1","","","1","","","","","","","4","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","4","","","","","2","","","","","","","","","","","3","","3","1","","","","","","","","","","","","","","","",""
"11","","","","","1","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","2","","","","","","","","2","","","4","","4","3","","","","","","","","","","","","","","","",""
"27","","","","","1","","","","","","","","","","3","","","","","","","","","","","","","","","","","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","1","6","","5","3","","","","","","","","","","","","","","","",""
"43","","","","","2","","","1","","","","","","","4","","","","","","","","","","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","2","","","","","3","","","","","","","","","","","3","","4","3","","","","","","","","","","","","","","","",""
"59","","","","","2","","","2","","","","","","","4","","","","","","","","","","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","3","","","","","2","","","","","","","","","","","3","","3","2","","","","","","","","","","","","","","","",""
"12","","","","","1","","","","","","","","","","3","","","","","","","","","","","","","","","","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","2","","","","","","1","","","","","3","","","","","","","","2","","1","3","","3","2","","","","","","","","","","","","","","","",""
"28","","","","","1","","","","","5","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","2","","","","","","","","","","","6","","5","3","","","","","","","","","","","","","","","",""
"44","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","1","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","1","","","","","","","","","","","4","","4","4","","","","","","","","","","","","","","","",""
"60","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","2","","","","","","3","","","","","2","","","","","","","","","","","4","","5","2","","","","","","","","","","","","","","","",""
"13","","","","","1","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","2","","","","","","","","","","","2","","","","","","","","4","","1","2","","3","2","","","","","","","","","","","","","","","",""
"29","","","","","2","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","3","","","","","2","","","","","","","","","","","5","","6","4","","","","","","","","","","","","","","","",""
