block,plot,subplotres,subplotno,index,site_code,year,experiment_type,x,y,mid_x,mid_y,bl_x,ul_x,ur_x,br_x,bl_y,ul_y,ur_y,br_y
1,4,0.5,3,53,HREC,2016,observational,1,1,1.25,7.25,1,1,1.5,1.5,7,7.5,7.5,7
1,4,0.5,4,54,HREC,2016,observational,2,2,1.75,7.75,1.5,1.5,2,2,7.5,8,8,7.5
1,4,1,1,55,HREC,2016,observational,1,2,0.5,7.5,0,0,1,1,7,8,8,7
1,4,1,2,56,HREC,2016,observational,2,2,1.5,7.5,1,1,2,2,7,8,8,7
1,5,0.25,1,57,HREC,2016,observational,1,1,6.125,1.625,6,6,6.25,6.25,1.5,1.75,1.75,1.5
1,5,0.25,2,58,HREC,2016,observational,1,2,6.125,1.875,6,6,6.25,6.25,1.75,2,2,1.75
1,5,0.25,3,59,HREC,2016,observational,2,1,6.875,1.625,6.75,6.75,7,7,1.5,1.75,1.75,1.5
1,5,0.25,4,60,HREC,2016,observational,2,2,6.875,1.875,6.75,6.75,7,7,1.75,2,2,1.75
1,5,0.25,5,61,HREC,2016,observational,1,1,7.125,1.625,7,7,7.25,7.25,1.5,1.75,1.75,1.5
1,5,0.25,6,62,HREC,2016,observational,1,2,7.125,1.875,7,7,7.25,7.25,1.75,2,2,1.75
1,5,0.25,7,63,HREC,2016,observational,1,2,7.625,1.375,7.5,7.5,7.75,7.75,1.25,1.5,1.5,1.25
1,5,0.25,8,64,HREC,2016,observational,2,2,7.875,1.375,7.75,7.75,8,8,1.25,1.5,1.5,1.25
1,5,0.5,1,65,HREC,2016,observational,1,2,6.25,1.75,6,6,6.5,6.5,1.5,2,2,1.5
1,5,0.5,2,66,HREC,2016,observational,2,2,6.75,1.75,6.5,6.5,7,7,1.5,2,2,1.5
1,5,0.5,3,67,HREC,2016,observational,1,2,7.25,1.75,7,7,7.5,7.5,1.5,2,2,1.5
1,5,0.5,4,68,HREC,2016,observational,2,1,7.75,1.25,7.5,7.5,8,8,1,1.5,1.5,1
1,5,1,1,69,HREC,2016,observational,1,2,6.5,1.5,6,6,7,7,1,2,2,1
1,5,1,2,70,HREC,2016,observational,2,2,7.5,1.5,7,7,8,8,1,2,2,1
1,6,0.25,1,71,HREC,2016,observational,1,1,4.125,3.625,4,4,4.25,4.25,3.5,3.75,3.75,3.5
1,6,0.25,2,72,HREC,2016,observational,2,1,4.375,3.625,4.25,4.25,4.5,4.5,3.5,3.75,3.75,3.5
1,6,0.25,3,73,HREC,2016,observational,2,1,4.875,3.625,4.75,4.75,5,5,3.5,3.75,3.75,3.5
1,6,0.25,4,74,HREC,2016,observational,2,2,4.875,3.875,4.75,4.75,5,5,3.75,4,4,3.75
1,6,0.25,5,75,HREC,2016,observational,1,1,5.625,3.125,5.5,5.5,5.75,5.75,3,3.25,3.25,3
