"","SiteName","BlockNo","PlotNo","Subplot No","Subplot X","Subplot Y","BroHor","AveFat","AirCar","TriDub","TriHir","VulMyu","TriWhite","GalPar","Bare","DicCap","MadGra","HypGla","VicVel","BroDia","EroBot","TaeCap","TriCil","LatSph","ClaPur","TriWra","AveBar","BriMin","TriMicroceph","AmsMen","WhorledTarweed","TriMicro","Lotus","LatSPh","LolMul","AnaArv","MicCal","CasAtt","LacCil","TriWil","CalCil","TriGracil","FilGal","DaucPusil","VicSat","GerDis","CroSet","PlaNot","LupBic","VicVil","ConArv","LacSer","CerGlo","CalPar","SisBel","LotWra","Cardamine","NavPub","AgoHet","TriEri","TriMic","CarPac","PlaLan","Rock","TriFuc","DelVar","CynEch","Galpar","VicVIl","Torilis","ClaPUr","VulMru","BroSter","ElyGla","Lagophylla","BroMad","WhiteGlume","PetDub","UnkTar","SheArv","TriHya","WhiteRib","UnKTar","Lomatium","CerGlo.1","EupSpa","RiHir","CenMil","LinPar","Linanthus","LotPr","LotPur","GreenBrush","TriaHya","Longawn Brome","LongawnBrome","LotPUr","WhiteRub","PurpleFlower","PurpleCup","TriLax","GalPar.1","DicMul","CenMil (Not?)","Zigadenus","NavPUb","Linanthus (?)","BriMin.1","BriMax","AegTri","Sidalcea","TriMicrodon","LupBIc","CalLut","LotMic","BrImax","DicCap.1","Shieldseed","CenMil.1","ShieldSeed","TriGra","LupBic.1","TriBif","RanCal","NasPul","NotAgo","LotMIc","LongAwnBrome","LinPar.1","NotAGo","TriAlbo","PoaSecunda","BrIMax","4-Way Grass","AchMil","AchMol","TrIBif","LuzCom","4-WayGrass","BroCar"
"21","MCLA","1","1","5","5","3","4","0","3","2","1","2","4","1","","","2","","4","","","","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","MCLA","1","1","6","6","3","4","0","2","3","3","2","2","1","","","","1","3","","","1","0","","2","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","MCLA","1","1","7","7","3","3","0","3","3","4","3","2","1","10","","","","2","","1","2","0","2","2","","","","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","MCLA","1","1","8","8","3","3","0","3","2","2","3","5","1","","","","","2","","","3","0","1","2","","","","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","MCLA","1","1","9","1","4","4","0","","1","","3","1","","","1","","","2","1","","2","0","","1","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","MCLA","1","1","10","2","4","4","0","2","2","2","3","2","","10","","2","","3","","","2","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","MCLA","1","1","11","3","4","3","0","1","2","","3","","1","","1","","","5","","","","0","","","1","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","MCLA","1","1","12","4","4","3","0","1","2","","3","","","","","","","5","","","2","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","MCLA","1","1","13","5","4","3","0","2","2","","4","","","","","1","","6","","","3","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","MCLA","1","1","14","6","4","4","0","3","2","3","4","","","","","1","","3","","","2","0","","2","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
