"","site","block","year","fert","stat","samp","div","q"
"116","MCLA","4","2018",0,"mean","3",12.40625,0
"117","SFREC","1","2017",1,"mean","3",18.65625,0
"118","SFREC","1","2017",0,"mean","3",16.75,0
"119","SFREC","2","2017",1,"mean","3",21.71875,0
"120","SFREC","2","2017",0,"mean","3",19.828125,0
"121","SFREC","3","2017",1,"mean","3",16.375,0
"122","SFREC","3","2017",0,"mean","3",16.765625,0
"123","SFREC","4","2017",1,"mean","3",13.265625,0
"124","SFREC","4","2017",0,"mean","3",15.59375,0
"125","SFREC","1","2018",1,"mean","3",15.640625,0
"126","SFREC","1","2018",0,"mean","3",18.828125,0
"127","SFREC","2","2018",1,"mean","3",20.265625,0
"128","SFREC","2","2018",0,"mean","3",19.140625,0
"129","SFREC","3","2018",1,"mean","3",14.390625,0
"130","SFREC","3","2018",0,"mean","3",16.734375,0
"131","SFREC","4","2018",1,"mean","3",14.890625,0
"132","SFREC","4","2018",0,"mean","3",16.09375,0
"133","HREC","2","2017",1,"mean","4",17.453125,0
"134","HREC","2","2017",0,"mean","4",16.109375,0
"135","HREC","3","2017",1,"mean","4",18.484375,0
"136","HREC","3","2017",0,"mean","4",20.203125,0
"137","HREC","4","2017",1,"mean","4",22.875,0
"138","HREC","4","2017",0,"mean","4",22.84375,0
"139","HREC","2","2018",1,"mean","4",19.8125,0
"140","HREC","2","2018",0,"mean","4",18.078125,0
"141","HREC","3","2018",1,"mean","4",18.5625,0
"142","HREC","3","2018",0,"mean","4",22.453125,0
"143","HREC","4","2018",1,"mean","4",15.625,0
"144","HREC","4","2018",0,"mean","4",21.84375,0
"145","MCLA","1","2017",1,"mean","4",17.484375,0
"146","MCLA","1","2017",0,"mean","4",19.390625,0
"147","MCLA","2","2017",1,"mean","4",16.96875,0
"148","MCLA","2","2017",0,"mean","4",13.875,0
"149","MCLA","3","2017",1,"mean","4",14.046875,0
"150","MCLA","3","2017",0,"mean","4",15.25,0
"151","MCLA","4","2017",1,"mean","4",11.953125,0
"152","MCLA","4","2017",0,"mean","4",11.78125,0
"153","MCLA","1","2018",1,"mean","4",15.84375,0
"154","MCLA","1","2018",0,"mean","4",14.75,0
"155","MCLA","2","2018",1,"mean","4",11.1875,0
"156","MCLA","2","2018",0,"mean","4",11.984375,0
"157","MCLA","3","2018",1,"mean","4",11.03125,0
"158","MCLA","3","2018",0,"mean","4",14.25,0
"159","MCLA","4","2018",1,"mean","4",12.984375,0
"160","MCLA","4","2018",0,"mean","4",12.953125,0
"161","SFREC","1","2017",1,"mean","4",20.453125,0
"162","SFREC","1","2017",0,"mean","4",18.703125,0
"163","SFREC","2","2017",1,"mean","4",23.171875,0
"164","SFREC","2","2017",0,"mean","4",21.625,0
"165","SFREC","3","2017",1,"mean","4",17.59375,0
"166","SFREC","3","2017",0,"mean","4",17.875,0
"167","SFREC","4","2017",1,"mean","4",14.265625,0
"168","SFREC","4","2017",0,"mean","4",16.953125,0
"169","SFREC","1","2018",1,"mean","4",17,0
"170","SFREC","1","2018",0,"mean","4",20.25,0
"171","SFREC","2","2018",1,"mean","4",21.703125,0
"172","SFREC","2","2018",0,"mean","4",20.703125,0
"173","SFREC","3","2018",1,"mean","4",15.296875,0
"174","SFREC","3","2018",0,"mean","4",17.703125,0
"175","SFREC","4","2018",1,"mean","4",15.90625,0
"176","SFREC","4","2018",0,"mean","4",17.28125,0
"177","HREC","2","2017",1,"mean","5",18.421875,0
"178","HREC","2","2017",0,"mean","5",17.015625,0
"179","HREC","3","2017",1,"mean","5",19.59375,0
"180","HREC","3","2017",0,"mean","5",21.6875,0
"181","HREC","4","2017",1,"mean","5",24.03125,0
"182","HREC","4","2017",0,"mean","5",24.140625,0
"183","HREC","2","2018",1,"mean","5",20.9375,0
"184","HREC","2","2018",0,"mean","5",18.921875,0
"185","HREC","3","2018",1,"mean","5",19.890625,0
"186","HREC","3","2018",0,"mean","5",23.828125,0
"187","HREC","4","2018",1,"mean","5",16.796875,0
"188","HREC","4","2018",0,"mean","5",23.5,0
"189","MCLA","1","2017",1,"mean","5",18.265625,0
"190","MCLA","1","2017",0,"mean","5",20.1875,0
"191","MCLA","2","2017",1,"mean","5",18.015625,0
"192","MCLA","2","2017",0,"mean","5",14.5625,0
"193","MCLA","3","2017",1,"mean","5",14.734375,0
"194","MCLA","3","2017",0,"mean","5",16.25,0
"195","MCLA","4","2017",1,"mean","5",12.421875,0
"196","MCLA","4","2017",0,"mean","5",12.34375,0
"197","MCLA","1","2018",1,"mean","5",16.953125,0
"198","MCLA","1","2018",0,"mean","5",15.375,0
"199","MCLA","2","2018",1,"mean","5",12.0625,0
"200","MCLA","2","2018",0,"mean","5",13,0
"201","MCLA","3","2018",1,"mean","5",11.640625,0
"202","MCLA","3","2018",0,"mean","5",14.90625,0
"203","MCLA","4","2018",1,"mean","5",13.78125,0
"204","MCLA","4","2018",0,"mean","5",13.421875,0
"205","SFREC","1","2017",1,"mean","5",21.71875,0
"206","SFREC","1","2017",0,"mean","5",20.15625,0
"207","SFREC","2","2017",1,"mean","5",24.296875,0
"208","SFREC","2","2017",0,"mean","5",23.046875,0
"209","SFREC","3","2017",1,"mean","5",18.5625,0
"210","SFREC","3","2017",0,"mean","5",18.984375,0
"211","SFREC","4","2017",1,"mean","5",15.109375,0
"212","SFREC","4","2017",0,"mean","5",17.828125,0
"213","SFREC","1","2018",1,"mean","5",17.890625,0
"214","SFREC","1","2018",0,"mean","5",21.53125,0
"215","SFREC","2","2018",1,"mean","5",22.78125,0
"216","SFREC","2","2018",0,"mean","5",21.828125,0
"217","SFREC","3","2018",1,"mean","5",16.203125,0
"218","SFREC","3","2018",0,"mean","5",18.3125,0
"219","SFREC","4","2018",1,"mean","5",16.828125,0
"220","SFREC","4","2018",0,"mean","5",18.265625,0
"221","HREC","2","2017",1,"mean","6",19.015625,0
"222","HREC","2","2017",0,"mean","6",17.796875,0
"223","HREC","3","2017",1,"mean","6",20.640625,0
"224","HREC","3","2017",0,"mean","6",22.765625,0
"225","HREC","4","2017",1,"mean","6",25.109375,0
"226","HREC","4","2017",0,"mean","6",24.90625,0
"227","HREC","2","2018",1,"mean","6",21.78125,0
"228","HREC","2","2018",0,"mean","6",19.6875,0
"229","HREC","3","2018",1,"mean","6",20.859375,0
"230","HREC","3","2018",0,"mean","6",24.96875,0
"231","HREC","4","2018",1,"mean","6",17.765625,0
"232","HREC","4","2018",0,"mean","6",24.515625,0
"233","MCLA","1","2017",1,"mean","6",18.90625,0
"234","MCLA","1","2017",0,"mean","6",20.78125,0
"235","MCLA","2","2017",1,"mean","6",18.75,0
"236","MCLA","2","2017",0,"mean","6",15.125,0
"237","MCLA","3","2017",1,"mean","6",15.421875,0
"238","MCLA","3","2017",0,"mean","6",17.09375,0
"239","MCLA","4","2017",1,"mean","6",12.9375,0
"240","MCLA","4","2017",0,"mean","6",12.8125,0
"241","MCLA","1","2018",1,"mean","6",17.765625,0
"242","MCLA","1","2018",0,"mean","6",15.984375,0
"243","MCLA","2","2018",1,"mean","6",12.859375,0
"244","MCLA","2","2018",0,"mean","6",13.78125,0
"245","MCLA","3","2018",1,"mean","6",12.1875,0
"246","MCLA","3","2018",0,"mean","6",15.640625,0
"247","MCLA","4","2018",1,"mean","6",14.296875,0
"248","MCLA","4","2018",0,"mean","6",13.921875,0
"249","SFREC","1","2017",1,"mean","6",22.6875,0
"250","SFREC","1","2017",0,"mean","6",21.65625,0
"251","SFREC","2","2017",1,"mean","6",24.984375,0
"252","SFREC","2","2017",0,"mean","6",24.1875,0
"253","SFREC","3","2017",1,"mean","6",19.203125,0
"254","SFREC","3","2017",0,"mean","6",19.6875,0
"255","SFREC","4","2017",1,"mean","6",15.859375,0
"256","SFREC","4","2017",0,"mean","6",18.40625,0
"257","SFREC","1","2018",1,"mean","6",18.578125,0
"258","SFREC","1","2018",0,"mean","6",22.53125,0
"259","SFREC","2","2018",1,"mean","6",23.53125,0
"260","SFREC","2","2018",0,"mean","6",22.6875,0
"261","SFREC","3","2018",1,"mean","6",16.984375,0
"262","SFREC","3","2018",0,"mean","6",18.828125,0
"263","SFREC","4","2018",1,"mean","6",17.578125,0
"264","SFREC","4","2018",0,"mean","6",19.109375,0
"265","HREC","2","2017",1,"mean","7",19.546875,0
"266","HREC","2","2017",0,"mean","7",18.53125,0
"267","HREC","3","2017",1,"mean","7",21.46875,0
"268","HREC","3","2017",0,"mean","7",23.78125,0
"269","HREC","4","2017",1,"mean","7",25.921875,0
"270","HREC","4","2017",0,"mean","7",25.84375,0
"271","HREC","2","2018",1,"mean","7",22.578125,0
"272","HREC","2","2018",0,"mean","7",20.515625,0
"273","HREC","3","2018",1,"mean","7",22,0
"274","HREC","3","2018",0,"mean","7",25.9375,0
"275","HREC","4","2018",1,"mean","7",18.71875,0
"276","HREC","4","2018",0,"mean","7",25.4375,0
"277","MCLA","1","2017",1,"mean","7",19.515625,0
"278","MCLA","1","2017",0,"mean","7",21.171875,0
"279","MCLA","2","2017",1,"mean","7",19.5,0
"280","MCLA","2","2017",0,"mean","7",15.71875,0
"281","MCLA","3","2017",1,"mean","7",15.828125,0
"282","MCLA","3","2017",0,"mean","7",17.765625,0
"283","MCLA","4","2017",1,"mean","7",13.5625,0
"284","MCLA","4","2017",0,"mean","7",13.40625,0
"285","MCLA","1","2018",1,"mean","7",18.53125,0
"286","MCLA","1","2018",0,"mean","7",16.71875,0
"287","MCLA","2","2018",1,"mean","7",13.59375,0
"288","MCLA","2","2018",0,"mean","7",14.546875,0
"289","MCLA","3","2018",1,"mean","7",12.578125,0
"290","MCLA","3","2018",0,"mean","7",16.4375,0
"291","MCLA","4","2018",1,"mean","7",15.046875,0
"292","MCLA","4","2018",0,"mean","7",14.5,0
"293","SFREC","1","2017",1,"mean","7",23.640625,0
"294","SFREC","1","2017",0,"mean","7",22.828125,0
"295","SFREC","2","2017",1,"mean","7",26.015625,0
"296","SFREC","2","2017",0,"mean","7",25.421875,0
"297","SFREC","3","2017",1,"mean","7",19.796875,0
"298","SFREC","3","2017",0,"mean","7",20.40625,0
"299","SFREC","4","2017",1,"mean","7",16.75,0
"300","SFREC","4","2017",0,"mean","7",19.078125,0
"301","SFREC","1","2018",1,"mean","7",19.046875,0
"302","SFREC","1","2018",0,"mean","7",23.265625,0
"303","SFREC","2","2018",1,"mean","7",24.140625,0
"304","SFREC","2","2018",0,"mean","7",23.328125,0
"305","SFREC","3","2018",1,"mean","7",17.65625,0
"306","SFREC","3","2018",0,"mean","7",19.1875,0
"307","SFREC","4","2018",1,"mean","7",18.171875,0
"308","SFREC","4","2018",0,"mean","7",19.640625,0
"309","HREC","2","2017",1,"mean","8",20.34375,0
"310","HREC","2","2017",0,"mean","8",19.0625,0
"311","HREC","3","2017",1,"mean","8",22.421875,0
"312","HREC","3","2017",0,"mean","8",24.75,0
"313","HREC","4","2017",1,"mean","8",26.859375,0
"314","HREC","4","2017",0,"mean","8",26.796875,0
"315","HREC","2","2018",1,"mean","8",23.4375,0
"316","HREC","2","2018",0,"mean","8",21.203125,0
"317","HREC","3","2018",1,"mean","8",22.796875,0
"318","HREC","3","2018",0,"mean","8",26.796875,0
"319","HREC","4","2018",1,"mean","8",19.625,0
"320","HREC","4","2018",0,"mean","8",26.28125,0
"321","MCLA","1","2017",1,"mean","8",20,0
"322","MCLA","1","2017",0,"mean","8",21.765625,0
"323","MCLA","2","2017",1,"mean","8",20.21875,0
"324","MCLA","2","2017",0,"mean","8",16.3125,0
"325","MCLA","3","2017",1,"mean","8",16.375,0
"326","MCLA","3","2017",0,"mean","8",18.421875,0
"327","MCLA","4","2017",1,"mean","8",13.9375,0
"328","MCLA","4","2017",0,"mean","8",13.921875,0
"329","MCLA","1","2018",1,"mean","8",19.15625,0
"330","MCLA","1","2018",0,"mean","8",17.1875,0
"331","MCLA","2","2018",1,"mean","8",14.109375,0
"332","MCLA","2","2018",0,"mean","8",15.140625,0
"333","MCLA","3","2018",1,"mean","8",13.078125,0
"334","MCLA","3","2018",0,"mean","8",16.8125,0
"335","MCLA","4","2018",1,"mean","8",15.671875,0
"336","MCLA","4","2018",0,"mean","8",14.734375,0
"337","SFREC","1","2017",1,"mean","8",24.3125,0
"338","SFREC","1","2017",0,"mean","8",23.578125,0
"339","SFREC","2","2017",1,"mean","8",26.46875,0
"340","SFREC","2","2017",0,"mean","8",26.21875,0
"341","SFREC","3","2017",1,"mean","8",20.296875,0
"342","SFREC","3","2017",0,"mean","8",20.875,0
"343","SFREC","4","2017",1,"mean","8",17.203125,0
"344","SFREC","4","2017",0,"mean","8",19.40625,0
"345","SFREC","1","2018",1,"mean","8",19.65625,0
"346","SFREC","1","2018",0,"mean","8",24.09375,0
"347","SFREC","2","2018",1,"mean","8",24.75,0
"348","SFREC","2","2018",0,"mean","8",23.9375,0
"349","SFREC","3","2018",1,"mean","8",18.234375,0
"350","SFREC","3","2018",0,"mean","8",19.546875,0
"351","SFREC","4","2018",1,"mean","8",18.84375,0
"352","SFREC","4","2018",0,"mean","8",20.171875,0
"353","HREC","2","2017",1,"mean","9",20.9375,0
"354","HREC","2","2017",0,"mean","9",19.546875,0
"355","HREC","3","2017",1,"mean","9",23.234375,0
"356","HREC","3","2017",0,"mean","9",25.421875,0
"357","HREC","4","2017",1,"mean","9",27.671875,0
"358","HREC","4","2017",0,"mean","9",27.546875,0
"359","HREC","2","2018",1,"mean","9",24.078125,0
"360","HREC","2","2018",0,"mean","9",21.875,0
"361","HREC","3","2018",1,"mean","9",23.546875,0
"362","HREC","3","2018",0,"mean","9",27.546875,0
"363","HREC","4","2018",1,"mean","9",20.1875,0
"364","HREC","4","2018",0,"mean","9",27.21875,0
"365","MCLA","1","2017",1,"mean","9",20.296875,0
"366","MCLA","1","2017",0,"mean","9",22.265625,0
"367","MCLA","2","2017",1,"mean","9",20.59375,0
"368","MCLA","2","2017",0,"mean","9",16.90625,0
"369","MCLA","3","2017",1,"mean","9",16.890625,0
"370","MCLA","3","2017",0,"mean","9",19,0
"371","MCLA","4","2017",1,"mean","9",14.25,0
"372","MCLA","4","2017",0,"mean","9",14.328125,0
"373","MCLA","1","2018",1,"mean","9",19.703125,0
"374","MCLA","1","2018",0,"mean","9",17.5625,0
"375","MCLA","2","2018",1,"mean","9",14.53125,0
"376","MCLA","2","2018",0,"mean","9",15.828125,0
"377","MCLA","3","2018",1,"mean","9",13.421875,0
"378","MCLA","3","2018",0,"mean","9",17.21875,0
"379","MCLA","4","2018",1,"mean","9",16.171875,0
"380","MCLA","4","2018",0,"mean","9",14.984375,0
"381","SFREC","1","2017",1,"mean","9",25.078125,0
"382","SFREC","1","2017",0,"mean","9",24.71875,0
"383","SFREC","2","2017",1,"mean","9",26.84375,0
"384","SFREC","2","2017",0,"mean","9",26.875,0
"385","SFREC","3","2017",1,"mean","9",20.65625,0
"386","SFREC","3","2017",0,"mean","9",21.4375,0
"387","SFREC","4","2017",1,"mean","9",17.671875,0
"388","SFREC","4","2017",0,"mean","9",19.921875,0
"389","SFREC","1","2018",1,"mean","9",20.234375,0
"390","SFREC","1","2018",0,"mean","9",24.78125,0
"391","SFREC","2","2018",1,"mean","9",25.421875,0
"392","SFREC","2","2018",0,"mean","9",24.796875,0
"393","SFREC","3","2018",1,"mean","9",18.59375,0
"394","SFREC","3","2018",0,"mean","9",19.84375,0
"395","SFREC","4","2018",1,"mean","9",19.421875,0
"396","SFREC","4","2018",0,"mean","9",20.734375,0
"397","HREC","2","2017",1,"mean","10",21.40625,0
"398","HREC","2","2017",0,"mean","10",19.90625,0
"399","HREC","3","2017",1,"mean","10",23.875,0
"400","HREC","3","2017",0,"mean","10",26.046875,0
"401","HREC","4","2017",1,"mean","10",28.171875,0
"402","HREC","4","2017",0,"mean","10",28.046875,0
"403","HREC","2","2018",1,"mean","10",24.578125,0
"404","HREC","2","2018",0,"mean","10",22.390625,0
"405","HREC","3","2018",1,"mean","10",24.28125,0
"406","HREC","3","2018",0,"mean","10",28.125,0
"407","HREC","4","2018",1,"mean","10",21.015625,0
"408","HREC","4","2018",0,"mean","10",27.953125,0
"409","MCLA","1","2017",1,"mean","10",20.6875,0
"410","MCLA","1","2017",0,"mean","10",22.703125,0
"411","MCLA","2","2017",1,"mean","10",21.109375,0
"412","MCLA","2","2017",0,"mean","10",17.265625,0
"413","MCLA","3","2017",1,"mean","10",17.296875,0
"414","MCLA","3","2017",0,"mean","10",19.625,0
"415","MCLA","4","2017",1,"mean","10",14.75,0
"416","MCLA","4","2017",0,"mean","10",14.71875,0
"417","MCLA","1","2018",1,"mean","10",20.09375,0
"418","MCLA","1","2018",0,"mean","10",18.15625,0
"419","MCLA","2","2018",1,"mean","10",15.15625,0
"420","MCLA","2","2018",0,"mean","10",16.4375,0
"421","MCLA","3","2018",1,"mean","10",13.640625,0
