SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,GerDis,VicSat,CarPac,Torilis,ClaPer,GalPar,TriDub,,,,,,,,,,,
SFREC,3,1,15,7,8,0,,1,2,,,,,,,,,,,,,,
SFREC,3,1,16,8,8,1,,,4,,25,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,TriDub,VicSat,Torilis,GerDis,BriMin,GalPar,Bare,Rock,,,,,,,,,,
SFREC,3,2,1,1,1,2,,,,1,1,,,,,,,,,,,,
SFREC,3,2,2,2,1,,,,2,2,1,,,,,,,,,,,,
SFREC,3,2,3,3,1,,,,,1,2,2,,,,,,,,,,,
SFREC,3,2,4,4,1,1,,,,2,1,6,6,,,,,,,,,,
SFREC,3,2,5,5,1,1,1,,,1,,,,,,,,,,,,,
SFREC,3,2,6,6,1,1,,,,1,,,,,,,,,,,,,
SFREC,3,2,7,7,1,,,,,,,,,,,,,,,,,,
SFREC,3,2,8,8,1,1,,,1,,,,,,,,,,,,,,
SFREC,3,2,9,1,2,,2,,,1,1,,,,,,,,,,,,
SFREC,3,2,10,2,2,1,,,,1,1,,,,,,,,,,,,
SFREC,3,2,11,3,2,1,2,,,,,,,,,,,,,,,,
SFREC,3,2,12,4,2,1,,,,1,1,,,,,,,,,,,,
SFREC,3,2,13,5,2,,1,,,,,,,,,,,,,,,,
SFREC,3,2,14,6,2,1,,,,,1,,,,,,,,,,,,
SFREC,3,2,15,7,2,,,,,,,,,,,,,,,,,,
SFREC,3,2,16,8,2,,,,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,TriDub,VicSat,Torilis,GerDis,BriMin,GalPar,CynEch,AnaArv,,,,,,,,,,
SFREC,3,2,1,1,3,,2,,1,2,,,,,,,,,,,,,
SFREC,3,2,2,2,3,2,2,,,2,,,,,,,,,,,,,
SFREC,3,2,3,3,3,1,2,,,2,1,,,,,,,,,,,,
SFREC,3,2,4,4,3,,2,,,1,2,,,,,,,,,,,,
SFREC,3,2,5,5,3,,1,,,,1,1,,,,,,,,,,,
SFREC,3,2,6,6,3,,,,,,1,,,,,,,,,,,,
SFREC,3,2,7,7,3,,,,,,1,1,,,,,,,,,,,
SFREC,3,2,8,8,3,,,,,,,2,,,,,,,,,,,
SFREC,3,2,9,1,4,4,2,,1,,1,,1,,,,,,,,,,
SFREC,3,2,10,2,4,3,2,,,1,1,,,,,,,,,,,,
SFREC,3,2,11,3,4,2,2,1,,2,1,,,,,,,,,,,,
SFREC,3,2,12,4,4,,1,,,,1,,,,,,,,,,,,
SFREC,3,2,13,5,4,1,1,,,,1,,,,,,,,,,,,
SFREC,3,2,14,6,4,,,,,,2,,,,,,,,,,,,
SFREC,3,2,15,7,4,1,,,,,1,2,,,,,,,,,,,
SFREC,3,2,16,8,4,,,,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,TriDub,VicSat,Torilis,GerDis,BriMin,GalPar,Bare,,,,,,,,,,,
SFREC,3,2,1,1,5,3,2,,,,,,,,,,,,,,,,
SFREC,3,2,2,2,5,3,2,,,1,2,,,,,,,,,,,,
SFREC,3,2,3,3,5,,2,,,1,,,,,,,,,,,,,
SFREC,3,2,4,4,5,,1,,,,,,,,,,,,,,,,
SFREC,3,2,5,5,5,,1,,,,,,,,,,,,,,,,
SFREC,3,2,6,6,5,,2,,,,2,,,,,,,,,,,,
SFREC,3,2,7,7,5,,,,,,1,,,,,,,,,,,,
SFREC,3,2,8,8,5,,1,,,,1,3,,,,,,,,,,,
SFREC,3,2,9,1,6,,2,,,,1,,,,,,,,,,,,
SFREC,3,2,10,2,6,2,2,,,,1,,,,,,,,,,,,
SFREC,3,2,11,3,6,,2,,,,,,,,,,,,,,,,
SFREC,3,2,12,4,6,,2,,,,,,,,,,,,,,,,
SFREC,3,2,13,5,6,,,,,,1,,,,,,,,,,,,
SFREC,3,2,14,6,6,1,1,,,,2,,,,,,,,,,,,
SFREC,3,2,15,7,6,,2,,,,1,,,,,,,,,,,,
SFREC,3,2,16,8,6,,,,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,TriDub,VicSat,GalPar,Torilis,GerDis,,,,,,,,,,,,,
SFREC,3,2,1,1,7,,2,2,,,,,,,,,,,,,,,
SFREC,3,2,2,2,7,,2,2,,,,,,,,,,,,,,,
SFREC,3,2,3,3,7,,2,2,,,,,,,,,,,,,,,
SFREC,3,2,4,4,7,,2,1,,,,,,,,,,,,,,,
SFREC,3,2,5,5,7,,1,1,,,,,,,,,,,,,,,
SFREC,3,2,6,6,7,,2,,,,,,,,,,,,,,,,
SFREC,3,2,7,7,7,,2,1,1,,,,,,,,,,,,,,
SFREC,3,2,8,8,7,,2,1,,,,,,,,,,,,,,,
SFREC,3,2,9,1,8,,,2,,1,,,,,,,,,,,,,
SFREC,3,2,10,2,8,,2,2,,,,,,,,,,,,,,,
SFREC,3,2,11,3,8,,1,,,,,,,,,,,,,,,,
SFREC,3,2,12,4,8,,2,2,1,1,,,,,,,,,,,,,
SFREC,3,2,13,5,8,,2,,,,,,,,,,,,,,,,
SFREC,3,2,14,6,8,,2,,,,,,,,,,,,,,,,
SFREC,3,2,15,7,8,,3,,,,,,,,,,,,,,,,
SFREC,3,2,16,8,8,,2,,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,GalPar,TriDub,CarPac,EroCic,,,,,,,,,,,
SFREC,4,1,1,1,1,3,3,2,1,,,,,,,,,,,,,,
SFREC,4,1,2,2,1,3,3,2,1,,,,,,,,,,,,,,
SFREC,4,1,3,3,1,3,4,2,,2,,,,,,,,,,,,,
SFREC,4,1,4,4,1,3,4,,2,,,,,,,,,,,,,,
SFREC,4,1,5,5,1,3,4,1,1,2,1,,,,,,,,,,,,
SFREC,4,1,6,6,1,2,2,2,1,3,1,,,,,,,,,,,,
SFREC,4,1,7,7,1,2,3,,1,3,,,,,,,,,,,,,
SFREC,4,1,8,8,1,2,3,,1,2,,1,,,,,,,,,,,
SFREC,4,1,9,1,2,3,2,2,1,,,,,,,,,,,,,,
SFREC,4,1,10,2,2,3,2,2,1,1,,,,,,,,,,,,,
SFREC,4,1,11,3,2,2,2,,1,2,,,,,,,,,,,,,
SFREC,4,1,12,4,2,2,2,,,1,,,,,,,,,,,,,
SFREC,4,1,13,5,2,2,2,,1,,,1,,,,,,,,,,,
SFREC,4,1,14,6,2,3,2,,1,3,,,,,,,,,,,,,
SFREC,4,1,15,7,2,3,2,,1,1,,,,,,,,,,,,,
SFREC,4,1,16,8,2,1,2,,2,,,1,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,GalPar,TriDub,Bare,Rock,EroCic,CynEch,CarPac,EupSpa,,,,,,,
SFREC,4,1,1,1,3,3,2,2,1,1,,,,,,,,,,,,,
SFREC,4,1,2,2,3,3,2,2,1,,4,4,,,,,,,,,,,
SFREC,4,1,3,3,3,2,2,,1,,,,,,,,,,,,,,
SFREC,4,1,4,4,3,2,2,,1,,,,1,,,,,,,,,,
SFREC,4,1,5,5,3,2,2,,1,1,,,,1,,,,,,,,,
SFREC,4,1,6,6,3,2,3,,1,2,5,5,,,,,,,,,,,
SFREC,4,1,7,7,3,2,2,,1,,,,1,,1,,,,,,,,
SFREC,4,1,8,8,3,3,2,,1,1,,,,,,,,,,,,,
SFREC,4,1,9,1,4,3,2,2,1,,,,,,,,,,,,,,
SFREC,4,1,10,2,4,2,2,2,1,,,,,,,,,,,,,,
SFREC,4,1,11,3,4,2,2,,1,,7,7,,,1,,,,,,,,
SFREC,4,1,12,4,4,2,1,,2,,,,,,,,,,,,,,
SFREC,4,1,13,5,4,2,2,,2,,,,,,,1,,,,,,,
SFREC,4,1,14,6,4,2,2,,1,,,,1,,,1,,,,,,,
SFREC,4,1,15,7,4,2,2,,2,,,,1,,,,,,,,,,
SFREC,4,1,16,8,4,2,3,,2,,,,,,,1,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,GalPar,TriDub,DicCap,EroCic,CarPac,EupSpa,,,,,,,,,
SFREC,4,1,1,1,5,,2,2,,,,,,,,,,,,,,,
SFREC,4,1,2,2,5,2,2,2,1,,,,,,,,,,,,,,
SFREC,4,1,3,3,5,1,1,,1,,1,,,,,,,,,,,,
SFREC,4,1,4,4,5,1,1,,1,1,,1,1,1,,,,,,,,,
SFREC,4,1,5,5,5,2,1,,2,,,1,,,,,,,,,,,
SFREC,4,1,6,6,5,3,2,,2,1,,1,,1,,,,,,,,,
SFREC,4,1,7,7,5,3,2,1,2,,,1,,,,,,,,,,,
SFREC,4,1,8,8,5,4,3,,2,,,,2,1,,,,,,,,,
SFREC,4,1,9,1,6,,2,2,1,,,,2,,,,,,,,,,
SFREC,4,1,10,2,6,2,2,,2,,,1,,1,,,,,,,,,
SFREC,4,1,11,3,6,3,2,,1,,,,,,,,,,,,,,
SFREC,4,1,12,4,6,2,2,,2,,,,,1,,,,,,,,,
SFREC,4,1,13,5,6,2,1,,1,,,1,,1,,,,,,,,,
SFREC,4,1,14,6,6,2,2,,1,,,1,1,,,,,,,,,,
SFREC,4,1,15,7,6,3,3,,2,,,,1,,,,,,,,,,
SFREC,4,1,16,8,6,4,3,,1,,,1,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,EroCic,Galpar,EupSpa,CarPac,Bare,Rock,,,,,,,,,
SFREC,4,1,1,1,7,2,3,3,1,2,,,,,,,,,,,,,
SFREC,4,1,2,2,7,3,5,3,,1,,,,,,,,,,,,,
SFREC,4,1,3,3,7,2,3,,,2,,,,,,,,,,,,,
SFREC,4,1,4,4,7,2,3,,,1,1,,,,,,,,,,,,
SFREC,4,1,5,5,7,2,1,,1,1,,2,,,,,,,,,,,
SFREC,4,1,6,6,7,3,1,,2,1,1,1,,,,,,,,,,,
SFREC,4,1,7,7,7,3,2,,,1,,,,,,,,,,,,,
SFREC,4,1,8,8,7,4,3,,,1,,,,,,,,,,,,,
SFREC,4,1,9,1,8,,3,1,1,2,,,,,,,,,,,,,
SFREC,4,1,10,2,8,2,5,2,1,3,,,,,,,,,,,,,
SFREC,4,1,11,3,8,3,4,,,1,,1,,,,,,,,,,,
SFREC,4,1,12,4,8,2,3,,,2,,,,,,,,,,,,,
SFREC,4,1,13,5,8,2,2,,,3,,2,,,,,,,,,,,
SFREC,4,1,14,6,8,2,2,,,2,1,1,,,,,,,,,,,
SFREC,4,1,15,7,8,3,2,,,2,,2,,,,,,,,,,,
SFREC,4,1,16,8,8,2,3,,2,2,,,4,4,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,TriDub,Galpar,Bare,CynEch,DaucPusil,Rock,,,,,,,,,
SFREC,4,2,1,1,1,2,2,,2,1,3,,,,,,,,,,,,
SFREC,4,2,2,2,1,3,2,,1,2,,2,,,,,,,,,,,
SFREC,4,2,3,3,1,1,1,,,1,,1,,,,,,,,,,,
SFREC,4,2,4,4,1,1,1,,,1,,,,,,,,,,,,,
SFREC,4,2,5,5,1,2,1,,1,1,2,,,,,,,,,,,,
SFREC,4,2,6,6,1,,1,,1,2,,,2,,,,,,,,,,
SFREC,4,2,7,7,1,1,2,,,1,2,,1,2,,,,,,,,,
SFREC,4,2,8,8,1,2,2,,2,1,,,,,,,,,,,,,
SFREC,4,2,9,1,2,2,1,,2,,,1,,,,,,,,,,,
SFREC,4,2,10,2,2,2,,,1,1,,,,,,,,,,,,,
SFREC,4,2,11,3,2,2,,,,2,6,,,,,,,,,,,,
SFREC,4,2,12,4,2,1,1,,,1,8,,,,,,,,,,,,
SFREC,4,2,13,5,2,2,,1,2,2,,,,,,,,,,,,,
SFREC,4,2,14,6,2,2,1,1,,2,,,,,,,,,,,,,
SFREC,4,2,15,7,2,2,1,,,2,,,,,,,,,,,,,
SFREC,4,2,16,8,2,3,1,,2,1,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,TriDub,GalPar,Bare,CynEch,CarPac,Rock,,,,,,,,,
SFREC,4,2,1,1,3,2,,,,1,,2,,,,,,,,,,,
SFREC,4,2,2,2,3,2,1,1,2,1,,,,,,,,,,,,,
SFREC,4,2,3,3,3,1,1,1,1,,,,,,,,,,,,,,
SFREC,4,2,4,4,3,1,1,,2,1,3,,1,3,,,,,,,,,
SFREC,4,2,5,5,3,,,,2,1,15,,,,,,,,,,,,
SFREC,4,2,6,6,3,1,1,,1,2,,,,,,,,,,,,,
SFREC,4,2,7,7,3,1,2,,2,1,,,,,,,,,,,,,
SFREC,4,2,8,8,3,2,1,1,2,,,,,,,,,,,,,,
SFREC,4,2,9,1,4,2,2,,,,,,,,,,,,,,,,
SFREC,4,2,10,2,4,2,,,1,1,,,,,,,,,,,,,
SFREC,4,2,11,3,4,2,1,,2,,,,,,,,,,,,,,
SFREC,4,2,12,4,4,1,,,1,1,,,,,,,,,,,,,
SFREC,4,2,13,5,4,1,,,,2,4,,,,,,,,,,,,
SFREC,4,2,14,6,4,2,,,3,1,,,,,,,,,,,,,
SFREC,4,2,15,7,4,2,1,,,2,,,,,,,,,,,,,
SFREC,4,2,16,8,4,2,1,,1,1,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,TriDub,Galpar,Bare,CynEch,CarPac,Rock,EroCic,BriMin,,,,,,,
SFREC,4,2,1,1,5,3,2,,1,1,4,,,,,,,,,,,,
SFREC,4,2,2,2,5,2,1,,,1,3,,,,,,,,,,,,
SFREC,4,2,3,3,5,2,1,,,,60,,,,,,,,,,,,
SFREC,4,2,4,4,5,2,,,,2,,,,,,,,,,,,,
SFREC,4,2,5,5,5,2,,,2,1,,,,,,,,,,,,,
SFREC,4,2,6,6,5,2,1,,3,2,,2,,,2,,,,,,,,
SFREC,4,2,7,7,5,2,1,,,1,,,,,1,,,,,,,,
SFREC,4,2,8,8,5,3,2,,,2,,,,,,,,,,,,,
SFREC,4,2,9,1,6,2,2,,3,1,20,,,,,,,,,,,,
SFREC,4,2,10,2,6,3,2,,1,1,,,,,1,,,,,,,,
SFREC,4,2,11,3,6,2,1,1,,1,,,,,1,1,,,,,,,
SFREC,4,2,12,4,6,2,1,,,,,,,,,,,,,,,,
SFREC,4,2,13,5,6,2,2,,2,,,,,,,,,,,,,,
SFREC,4,2,14,6,6,1,1,,2,2,,,,,1,,,,,,,,
SFREC,4,2,15,7,6,2,2,,1,2,,,,,1,,,,,,,,
SFREC,4,2,16,8,6,3,2,,1,1,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerDis,Torilis,TriDub,Bare,Rock,CynEch,GalPar,EroCic,,,,,,,,,
SFREC,4,2,1,1,7,3,2,,,,,1,1,,,,,,,,,,
SFREC,4,2,2,2,7,2,2,,1,,,,,1,,,,,,,,,
SFREC,4,2,3,3,7,2,,,,,,2,,,,,,,,,,,
SFREC,4,2,4,4,7,2,1,1,1,,,,,1,,,,,,,,,
SFREC,4,2,5,5,7,2,1,,,,,,1,2,,,,,,,,,
SFREC,4,2,6,6,7,3,1,,1,,,,2,2,,,,,,,,,
SFREC,4,2,7,7,7,3,2,,1,,,,1,2,,,,,,,,,
SFREC,4,2,8,8,7,3,1,1,2,,,,,,,,,,,,,,
SFREC,4,2,9,1,8,2,2,,,,,,,2,,,,,,,,,
SFREC,4,2,10,2,8,2,2,,1,,,,1,2,,,,,,,,,
SFREC,4,2,11,3,8,2,2,,1,,,2,,1,,,,,,,,,
SFREC,4,2,12,4,8,2,2,,2,,,,1,1,,,,,,,,,
SFREC,4,2,13,5,8,2,,,1,,,,1,2,,,,,,,,,
SFREC,4,2,14,6,8,3,2,,,,,,1,2,,,,,,,,,
SFREC,4,2,15,7,8,2,2,,,,,,1,2,,,,,,,,,
SFREC,4,2,16,8,8,3,2,,,,,1,1,,,,,,,,,,
