SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,GerDis,VicSat,CarPac,Torilis,ClaPer,GalPar,TriDub,,,,,,,,,,,
SFREC,1,2,7,7,1,2,2,2,2,,,15,1,,,,,,,,,,
SFREC,1,2,8,8,1,3,2,2,2,3,,,,1,,,,,,,,,
SFREC,1,2,9,1,2,3,2,3,2,,1,40,,,,,,,,,,,
SFREC,1,2,10,2,2,3,2,3,2,,,,1,,,,,,,,,,
SFREC,1,2,11,3,2,3,2,1,2,2,,,,,1,,,,,,,,
SFREC,1,2,12,4,2,3,2,4,2,3,,,1,,,,,,,,,,
SFREC,1,2,13,5,2,2,2,2,2,,1,5,1,,,,,,,,,,
SFREC,1,2,14,6,2,2,3,2,2,,,15,1,,,,,,,,,,
SFREC,1,2,15,7,2,2,2,1,2,,,,1,,,,,,,,,,
SFREC,1,2,16,8,2,3,2,,1,,,20,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,Torilis,GerDis,TriDub,GalPar,Cardamine,CarPac,Bare,Sanicula(?),DaucPusil,ThyCur,,,,,,,
SFREC,1,2,1,1,3,3,1,2,4,,,2,,,,,,,,,,,
SFREC,1,2,2,2,3,3,1,2,2,1,2,2,,,,,,,,,,,
SFREC,1,2,3,3,3,3,1,2,3,1,,,,,,,,,,,,,
SFREC,1,2,4,4,3,3,1,2,3,,1,,,,,,,,,,,,
SFREC,1,2,5,5,3,3,2,2,2,1,1,,8,,,,,,,,,,
SFREC,1,2,6,6,3,2,3,2,2,1,1,,,,,,,,,,,,
SFREC,1,2,7,7,3,2,2,2,1,1,1,,7,,,,,,,,,,
SFREC,1,2,8,8,3,2,2,2,,1,,,,2,,,,,,,,,
SFREC,1,2,9,1,4,3,2,2,4,,,,,,,,,,,,,,
SFREC,1,2,10,2,4,2,3,3,4,,,1,,,1,,,,,,,,
SFREC,1,2,11,3,4,3,2,2,3,1,,,,,,,,,,,,,
SFREC,1,2,12,4,4,2,4,2,2,1,,,,,,,,,,,,,
SFREC,1,2,13,5,4,2,4,3,4,1,,,,,,2,,,,,,,
SFREC,1,2,14,6,4,2,3,2,2,,,,8,,,,,,,,,,
SFREC,1,2,15,7,4,2,2,2,,,,,,,,,,,,,,,
SFREC,1,2,16,8,4,2,1,1,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,Torilis,GerDis,TriDub,GalPar,Cardamine,CarPac,Bare,ThyCur,CerGlo,,,,,,,,
SFREC,1,2,1,1,5,2,2,2,2,,,,,,,,,,,,,,
SFREC,1,2,2,2,5,2,0,2,3,1,,,,,,,,,,,,,
SFREC,1,2,3,3,5,3,2,2,3,1,,,,,,,,,,,,,
SFREC,1,2,4,4,5,3,3,1,0,1,1,,,,,,,,,,,,
SFREC,1,2,5,5,5,2,3,1,3,1,1,,7,1,,,,,,,,,
SFREC,1,2,6,6,5,1,3,2,,1,,,4,,,,,,,,,,
SFREC,1,2,7,7,5,2,2,2,,1,,1,,,,,,,,,,,
SFREC,1,2,8,8,5,3,2,2,,1,,,,,,,,,,,,,
SFREC,1,2,9,1,6,2,2,2,4,1,,3,,,,,,,,,,,
SFREC,1,2,10,2,6,2,2,2,3,1,,2,,,,,,,,,,,
SFREC,1,2,11,3,6,2,2,2,4,1,,,,,,,,,,,,,
SFREC,1,2,12,4,6,2,2,2,2,1,,,,,,,,,,,,,
SFREC,1,2,13,5,6,2,3,2,2,1,,,4,,,,,,,,,,
SFREC,1,2,14,6,6,2,2,2,1,,1,2,3,,,,,,,,,,
SFREC,1,2,15,7,6,2,3,2,,,,2,3,,1,,,,,,,,
SFREC,1,2,16,8,6,2,3,2,2,,,1,4,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,Torilis,GerDis,TriDub,GalPar,Bare,CarPac,CerGlo,Cardamine,DaucPusil,Sanicula (Lomatium?),,,,,,,
SFREC,1,2,1,1,7,2,2,2,6,1,,,2,,,,,,,,,,
SFREC,1,2,2,2,7,2,3,2,3,1,,,,,,,,,,,,,
SFREC,1,2,3,3,7,2,2,2,3,1,,,,,,,,,,,,,
SFREC,1,2,4,4,7,1,2,2,2,,,,,,,,,,,,,,
SFREC,1,2,5,5,7,2,2,2,4,,,2,,,,,,,,,,,
SFREC,1,2,6,6,7,3,3,2,2,1,,,,1,,,,,,,,,
SFREC,1,2,7,7,7,2,2,2,,1,,3,,,,,,,,,,,
SFREC,1,2,8,8,7,2,2,2,2,,5,3,,,,,,,,,,,
SFREC,1,2,9,1,8,2,2,2,5,1,,,1,1,,,,,,,,,
SFREC,1,2,10,2,8,2,3,2,4,,,,,,,,,,,,,,
SFREC,1,2,11,3,8,2,2,2,3,,8,1,,,,,,,,,,,
SFREC,1,2,12,4,8,2,3,2,4,,,2,,,1,,,,,,,,
SFREC,1,2,13,5,8,3,3,2,4,1,3,3,,1,,,,,,,,,
SFREC,1,2,14,6,8,2,2,2,5,,,3,,,,1,,,,,,,
SFREC,1,2,15,7,8,2,3,2,2,,,3,,,,,,,,,,,
SFREC,1,2,16,8,8,3,2,1,2,1,,3,,1,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GalPar,Torilis,TriDub,GerMol,Bare,CarPac,ThyCur,BriMin,,,,,,,,,
SFREC,2,2,1,1,1,3,1,2,,,,,,,,,,,,,,,
SFREC,2,2,2,2,1,3,2,2,,2,,,,,,,,,,,,,
SFREC,2,2,3,3,1,2,,3,3,,2,,,,,,,,,,,,
SFREC,2,2,4,4,1,2,,2,2,,,,,,,,,,,,,,
SFREC,2,2,5,5,1,2,1,,3,2,,,,,,,,,,,,,
SFREC,2,2,6,6,1,1,,2,3,1,,,,,,,,,,,,,
SFREC,2,2,7,7,1,2,2,1,4,1,,1,,,,,,,,,,,
SFREC,2,2,8,8,1,2,1,2,3,,,,,,,,,,,,,,
SFREC,2,2,9,1,2,3,,2,,1,,,,,,,,,,,,,
SFREC,2,2,10,2,2,3,1,2,,,,,1,,,,,,,,,,
SFREC,2,2,11,3,2,2,1,3,2,,,,,,,,,,,,,,
SFREC,2,2,12,4,2,2,,2,3,,2,,,,,,,,,,,,
SFREC,2,2,13,5,2,,1,1,3,,,,,,,,,,,,,,
SFREC,2,2,14,6,2,2,,,3,1,,,,,,,,,,,,,
SFREC,2,2,15,7,2,3,,2,2,,,,,,,,,,,,,,
SFREC,2,2,16,8,2,,,2,3,1,,,,1,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,Torilis,GerMol,TriDub,GalPar,Bare,EroCic,CarPac,UnkForb,,,,,,,,,
SFREC,2,2,1,1,3,3,3,1,,1,,,,,,,,,,,,,
SFREC,2,2,2,2,3,4,3,,,1,,,,,,,,,,,,,
SFREC,2,2,3,3,3,3,4,,2,,,,,,,,,,,,,,
SFREC,2,2,4,4,3,3,2,,4,1,,1,,,,,,,,,,,
SFREC,2,2,5,5,3,2,1,1,4,,,2,,,,,,,,,,,
SFREC,2,2,6,6,3,3,2,1,3,,,,,,,,,,,,,,
SFREC,2,2,7,7,3,3,3,,3,1,,,,,,,,,,,,,
SFREC,2,2,8,8,3,3,3,1,4,,,,2,,,,,,,,,,
SFREC,2,2,9,1,4,3,2,2,,1,,,,1,,,,,,,,,
SFREC,2,2,10,2,4,3,3,1,,1,,,,,,,,,,,,,
SFREC,2,2,11,3,4,4,2,,2,,,,,,,,,,,,,,
SFREC,2,2,12,4,4,4,1,1,2,1,,,,,,,,,,,,,
SFREC,2,2,13,5,4,3,3,,3,,,,,,,,,,,,,,
SFREC,2,2,14,6,4,2,2,2,4,2,,,,,,,,,,,,,
SFREC,2,2,15,7,4,2,2,1,4,1,,,1,,,,,,,,,,
SFREC,2,2,16,8,4,,3,,2,2,8,,2,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerMol,Torilis,AirCar,TriDub,GalPar,CarPac,Bare,DaucPusil,EroCic,CerGlo,,,,,,,
SFREC,2,2,1,1,5,,2,4,,,,,,,,,,,,,,,
SFREC,2,2,2,2,5,,2,4,2,,,,,,,,,,,,,,
SFREC,2,2,3,3,5,,2,3,1,,,,,,,,,,,,,,
SFREC,2,2,4,4,5,3,,3,,2,1,,,,,,,,,,,,
SFREC,2,2,5,5,5,3,,3,1,3,,2,,,,,,,,,,,
SFREC,2,2,6,6,5,3,2,3,,5,1,,,,,,,,,,,,
SFREC,2,2,7,7,5,2,,3,,5,1,1,,,,,,,,,,,
SFREC,2,2,8,8,5,1,2,2,,5,2,1,,,,,,,,,,,
SFREC,2,2,9,1,6,,2,3,,,,,,,,,,,,,,,
SFREC,2,2,10,2,6,2,1,3,,,,,,,,,,,,,,,
SFREC,2,2,11,3,6,1,2,4,1,,,,5,2,1,,,,,,,,
SFREC,2,2,12,4,6,3,2,3,,,1,,,,,,,,,,,,
SFREC,2,2,13,5,6,3,2,3,1,,,2,,1,,,,,,,,,
SFREC,2,2,14,6,6,2,,2,,6,1,,,,,,,,,,,,
SFREC,2,2,15,7,6,2,,2,,4,2,,,,1,1,,,,,,,
SFREC,2,2,16,8,6,2,,3,,4,2,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerMol,Torilis,GerDis,TriDub,GalPar,DaucPusil,EupSpa,AirCar,CarPac,EroCic,,,,,,,
SFREC,2,2,1,1,7,2,3,,1,,1,,,,,,,,,,,,
SFREC,2,2,2,2,7,2,2,1,,,1,2,1,,,,,,,,,,
SFREC,2,2,3,3,7,2,2,1,,,,2,,1,,,,,,,,,
SFREC,2,2,4,4,7,3,1,2,,,1,1,1,,,,,,,,,,
SFREC,2,2,5,5,7,3,2,3,,,,,,,1,,,,,,,,
SFREC,2,2,6,6,7,2,,3,,3,,,1,,,,,,,,,,
SFREC,2,2,7,7,7,2,1,1,1,6,1,,1,1,,1,,,,,,,
SFREC,2,2,8,8,7,1,,2,,2,2,,1,,3,,,,,,,,
SFREC,2,2,9,1,8,2,3,2,,,,,2,,,,,,,,,,
SFREC,2,2,10,2,8,3,2,2,,,,,,,,,,,,,,,
SFREC,2,2,11,3,8,3,2,2,,,1,,,,,,,,,,,,
SFREC,2,2,12,4,8,3,2,2,,1,1,,,,,,,,,,,,
SFREC,2,2,13,5,8,3,2,1,,5,,,,,,,,,,,,,
SFREC,2,2,14,6,8,3,2,2,,4,,,,,2,,,,,,,,
SFREC,2,2,15,7,8,2,1,2,,4,1,,,,,,,,,,,,
SFREC,2,2,16,8,8,0,2,1,,4,,,,1,3,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerMol,EupSpa,GalPar,Torilis,TriDub,EroCic,Lin Bic (Pink/Yellow),CynEch,,,,,,,,,
SFREC,2,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,
SFREC,2,1,2,2,1,1,2,2,,,,,,,,,,,,,,,
SFREC,2,1,3,3,1,2,1,,,1,,,,,,,,,,,,,
SFREC,2,1,4,4,1,2,1,,,2,1,,,,,,,,,,,,
SFREC,2,1,5,5,1,1,2,1,1,1,,,,,,,,,,,,,
SFREC,2,1,6,6,1,,,1,1,2,1,1,,,,,,,,,,,
SFREC,2,1,7,7,1,1,2,2,1,2,,2,,,,,,,,,,,
SFREC,2,1,8,8,1,,2,2,1,3,,,,,,,,,,,,,
SFREC,2,1,9,1,2,2,1,,,,,,,,,,,,,,,,
SFREC,2,1,10,2,2,,1,,,,,,,,,,,,,,,,
SFREC,2,1,11,3,2,,1,,1,,1,,,2,,,,,,,,,
SFREC,2,1,12,4,2,1,2,,,1,,,1,,,,,,,,,,
SFREC,2,1,13,5,2,2,2,2,1,,2,,,,,,,,,,,,
SFREC,2,1,14,6,2,1,2,1,2,1,,,,,,,,,,,,,
SFREC,2,1,15,7,2,2,2,1,2,,,1,2,,,,,,,,,,
SFREC,2,1,16,8,2,2,3,2,1,2,,1,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,GerMol,Torilis,CarPac,EroCic,EupSpa,LinBic,GalPar,DaucPusil,Bare,TriDub,ClaPer,,,,,,
SFREC,2,1,1,1,3,2,1,,,,,,,,,,,,,,,,
SFREC,2,1,2,2,3,2,,,1,,,,,,,,,,,,,,
SFREC,2,1,3,3,3,,2,,,,,,,,,,,,,,,,
SFREC,2,1,4,4,3,,2,,,2,2,2,2,1,,,,,,,,,
SFREC,2,1,5,5,3,1,2,2,,1,2,2,,,4,,,,,,,,
SFREC,2,1,6,6,3,2,3,,,2,2,,2,,,,,,,,,,
SFREC,2,1,7,7,3,,3,,,,2,,1,,,1,,,,,,,
SFREC,2,1,8,8,3,1,3,,,,2,,1,,,,,,,,,,
SFREC,2,1,9,1,4,2,3,1,,,,,2,,,1,,,,,,,
SFREC,2,1,10,2,4,1,2,,,,,,,1,,,,,,,,,
SFREC,2,1,11,3,4,,2,2,,1,1,1,2,,,2,,,,,,,
SFREC,2,1,12,4,4,1,2,2,3,,2,,,,,,,,,,,,
SFREC,2,1,13,5,4,,2,1,,1,1,,,,,,,,,,,,
SFREC,2,1,14,6,4,1,3,2,2,,,,1,,,3,,,,,,,
SFREC,2,1,15,7,4,2,3,3,2,,2,,1,,,,,,,,,,
SFREC,2,1,16,8,4,2,3,2,2,,2,,,,,,1,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,Torilis,GerDis,EupSpa,EroCic,LinBic,TriDub,GalPar,CarPac,ClaPer,Oak,,,,,,,
SFREC,2,1,1,1,5,,2,2,2,1,1,,2,,,,,,,,,,
SFREC,2,1,2,2,5,2,1,,2,,1,,1,,,,,,,,,,
SFREC,2,1,3,3,5,3,3,2,,,,1,2,,,,,,,,,,
SFREC,2,1,4,4,5,2,2,2,,,,,1,,,,,,,,,,
SFREC,2,1,5,5,5,2,,2,1,,,1,1,2,,,,,,,,,
SFREC,2,1,6,6,5,1,2,3,2,,,,2,,,,,,,,,,
SFREC,2,1,7,7,5,2,3,3,2,,,,,2,,,,,,,,,
SFREC,2,1,8,8,5,2,3,2,2,,,,,3,1,,,,,,,,
SFREC,2,1,9,1,6,,2,1,1,,,1,2,,,,,,,,,,
SFREC,2,1,10,2,6,1,3,2,1,1,,1,2,,,,,,,,,,
SFREC,2,1,11,3,6,2,2,2,,,,1,,,,,,,,,,,
SFREC,2,1,12,4,6,2,1,1,1,,,3,1,,,,,,,,,,
SFREC,2,1,13,5,6,2,2,2,2,,,1,2,,,,,,,,,,
SFREC,2,1,14,6,6,1,2,3,2,,,,1,,,,,,,,,,
SFREC,2,1,15,7,6,1,3,5,1,,,,,3,1,,,,,,,,
SFREC,2,1,16,8,6,2,3,3,2,,,,,4,2,2,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,GerDis,EupSpa,VicSat,TriDub,Torilis,GalPar,EroCic,CarPac,ClaPer,,,,,,,,,
SFREC,2,1,1,1,7,2,,2,2,,,,,,,,,,,,,,
SFREC,2,1,2,2,7,2,,2,1,,,,,,,,,,,,,,
SFREC,2,1,3,3,7,2,,2,1,1,2,,,,,,,,,,,,
SFREC,2,1,4,4,7,3,,2,1,2,,,,,,,,,,,,,
SFREC,2,1,5,5,7,4,,2,3,,1,,,,,,,,,,,,
SFREC,2,1,6,6,7,4,,2,3,,1,1,,,,,,,,,,,
SFREC,2,1,7,7,7,3,,2,,2,1,,4,,,,,,,,,,
SFREC,2,1,8,8,7,3,2,2,,3,,,3,2,,,,,,,,,
SFREC,2,1,9,1,8,2,,,,1,,,,,,,,,,,,,
SFREC,2,1,10,2,8,2,2,2,,,1,,,,,,,,,,,,
SFREC,2,1,11,3,8,3,1,1,3,,,,,,,,,,,,,,
SFREC,2,1,12,4,8,2,,,4,1,1,,,,,,,,,,,,
SFREC,2,1,13,5,8,3,1,2,4,2,2,,,,,,,,,,,,
SFREC,2,1,14,6,8,3,1,,4,,1,,,,,,,,,,,,
SFREC,2,1,15,7,8,2,1,3,2,3,1,,2,,,,,,,,,,
SFREC,2,1,16,8,8,4,2,2,2,2,1,,3,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,TriDub,GerDis,GalPar,VicSat,BriMin,CynEch,Torilis,,,,,,,,,,,
SFREC,3,1,1,1,1,5,1,,,,,,,,,,,,,,,,
SFREC,3,1,2,2,1,4,1,1,,,,,,,,,,,,,,,
SFREC,3,1,3,3,1,4,,,1,,,,,,,,,,,,,,
SFREC,3,1,4,4,1,4,1,1,,,,,,,,,,,,,,,
SFREC,3,1,5,5,1,5,,1,,,,,,,,,,,,,,,
SFREC,3,1,6,6,1,5,2,,2,,,,,,,,,,,,,,
SFREC,3,1,7,7,1,5,2,1,2,,,,,,,,,,,,,,
SFREC,3,1,8,8,1,5,1,,2,1,,,,,,,,,,,,,
SFREC,3,1,9,1,2,4,,,1,1,2,1,,,,,,,,,,,
SFREC,3,1,10,2,2,3,,1,,,,,,,,,,,,,,,
SFREC,3,1,11,3,2,4,2,,2,,,,,,,,,,,,,,
SFREC,3,1,12,4,2,4,2,1,,,1,,,,,,,,,,,,
SFREC,3,1,13,5,2,5,1,1,2,,,,,,,,,,,,,,
SFREC,3,1,14,6,2,4,1,1,2,,,,,,,,,,,,,,
SFREC,3,1,15,7,2,5,2,1,2,2,,,,,,,,,,,,,
SFREC,3,1,16,8,2,5,2,1,2,1,,1,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,TriDub,GerDis,VicSat,GalPar,BriMin,Torilis,Bare,EroCic,,,,,,,,,,
SFREC,3,1,1,1,3,5,,1,1,1,,,,,,,,,,,,,
SFREC,3,1,2,2,3,3,2,2,2,1,,,,,,,,,,,,,
SFREC,3,1,3,3,3,3,1,,,,,,,,,,,,,,,,
SFREC,3,1,4,4,3,4,1,1,,,,,,,,,,,,,,,
SFREC,3,1,5,5,3,6,1,,,,1,,,,,,,,,,,,
SFREC,3,1,6,6,3,5,1,,,1,1,,,,,,,,,,,,
SFREC,3,1,7,7,3,4,2,2,,,,,,,,,,,,,,,
SFREC,3,1,8,8,3,4,2,2,,1,2,4,,,,,,,,,,,
SFREC,3,1,9,1,4,5,1,1,,,,,,,,,,,,,,,
SFREC,3,1,10,2,4,4,,2,,,1,,,,,,,,,,,,
SFREC,3,1,11,3,4,4,1,2,,,1,,,,,,,,,,,,
SFREC,3,1,12,4,4,5,1,2,,,,,,,,,,,,,,,
SFREC,3,1,13,5,4,5,2,2,,,1,,,,,,,,,,,,
SFREC,3,1,14,6,4,5,,2,,,,,1,,,,,,,,,,
SFREC,3,1,15,7,4,5,1,2,,,2,,,,,,,,,,,,
SFREC,3,1,16,8,4,4,1,2,,,,7,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,TriDub,GerDis,Torilis,VicSat,BriMin,GalPar,Bare,,,,,,,,,,,
SFREC,3,1,1,1,5,2,,,2,1,1,,,,,,,,,,,,
SFREC,3,1,2,2,5,3,1,,2,,,,,,,,,,,,,,
SFREC,3,1,3,3,5,2,2,,3,,,,,,,,,,,,,,
SFREC,3,1,4,4,5,4,1,,2,1,,,,,,,,,,,,,
SFREC,3,1,5,5,5,4,,1,3,1,1,,,,,,,,,,,,
SFREC,3,1,6,6,5,4,2,,2,,1,,,,,,,,,,,,
SFREC,3,1,7,7,5,3,1,,2,1,1,,,,,,,,,,,,
SFREC,3,1,8,8,5,1,,,2,,,,,,,,,,,,,,
SFREC,3,1,9,1,6,4,,,1,,,,,,,,,,,,,,
SFREC,3,1,10,2,6,5,,,2,,,,,,,,,,,,,,
SFREC,3,1,11,3,6,6,,1,2,,,,,,,,,,,,,,
SFREC,3,1,12,4,6,5,,,2,1,,,,,,,,,,,,,
SFREC,3,1,13,5,6,5,,1,2,,,,,,,,,,,,,,
SFREC,3,1,14,6,6,2,,1,2,,,,,,,,,,,,,,
SFREC,3,1,15,7,6,2,1,1,2,1,,5,,,,,,,,,,,
SFREC,3,1,16,8,6,3,1,,2,,1,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,TriDub,GerDis,Torilis,VicSat,GalPar,Bare,BriMin,EroCic,Rock,,,,,,,,,
SFREC,3,1,1,1,7,2,1,,1,,,1,,,,,,,,,,,
SFREC,3,1,2,2,7,4,,,2,,,1,,,,,,,,,,,
SFREC,3,1,3,3,7,4,,,2,1,,1,,,,,,,,,,,
SFREC,3,1,4,4,7,4,,,2,,,,1,,,,,,,,,,
SFREC,3,1,5,5,7,3,,2,2,,9,,,9,,,,,,,,,
SFREC,3,1,6,6,7,4,,1,2,1,,,,,,,,,,,,,
SFREC,3,1,7,7,7,0,,,2,1,10,,,,,,,,,,,,
SFREC,3,1,8,8,7,0,,1,2,,,,,,,,,,,,,,
SFREC,3,1,9,1,8,5,,,2,1,,,,,,,,,,,,,
SFREC,3,1,10,2,8,3,,,2,1,,,,,,,,,,,,,
SFREC,3,1,11,3,8,3,1,,2,1,,,,,,,,,,,,,
SFREC,3,1,12,4,8,3,,,3,1,,,,,,,,,,,,,
SFREC,3,1,13,5,8,2,1,,2,,,,,,,,,,,,,,
SFREC,3,1,14,6,8,2,,1,3,,4,,,4,,,,,,,,,
