SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,AveFat,AirCar,TriDub,TriHir,VulMyu,TriWhite,GalPar,Bare,DicCap,MadGra,HypGla,VicVel,BroDia,EroBot,TaeCap,TriCil,LatSph,ClaPur,TriWra,,,,
MCLA,1,1,6,6,7,2,,,,3,2,3,,4,4,,,,,,1,,,,,,,,
MCLA,1,1,7,7,7,2,,,,2,,3,,5,4,,,,,,,,,,,,,,
MCLA,1,1,8,8,7,3,,,1,1,1,2,,4,4,,,,,,2,1,,,,,,,
MCLA,1,1,9,1,8,3,,3,1,,2,1,,4,3,,,,,,,,,,,,,,
MCLA,1,1,10,2,8,4,,1,1,1,2,1,,3,4,,,,,,1,,1,,,,,,
MCLA,1,1,11,3,8,4,,2,2,2,2,2,,3,3,,,1,,,,,,,,,,,
MCLA,1,1,12,4,8,4,,,,2,2,2,,5,3,,,,1,,1,,,,,,,,
MCLA,1,1,13,5,8,4,,,1,2,2,2,,5,3,,,,,2,,,,,,,,,
MCLA,1,1,14,6,8,3,,,2,4,3,2,,4,3,,,,2,1,1,,,,,,,,
MCLA,1,1,15,7,8,3,,,2,4,3,4,,4,3,,,,,,,,1,,,,,,
MCLA,1,1,16,8,8,3,,,3,4,3,4,,4,3,,,,,,,1,2,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,TaeCap,VulMyu,TriHir,GalPar,MadGra,AnaArv,TriDub,LatSph,DicCap,HypGla,AirCar,BriMin,ClaPur,Bare,AveBar,MicCal,CasAtt,TriWhite,LacCil,TriWil,,,
MCLA,1,2,1,1,1,2,4,3,2,2,1,2,1,,,,,,,,,,,,,,,,
MCLA,1,2,2,2,1,2,4,3,3,1,,,1,2,1,,,,2,,,,,,,,,,
MCLA,1,2,3,3,1,2,4,3,2,2,2,,,3,,2,2,1,2,,,,,,,,,,
MCLA,1,2,4,4,1,2,3,4,2,,,,,3,1,1,,,2,15,,,,,,,,,
MCLA,1,2,5,5,1,2,4,3,2,,1,,1,3,,,,,3,,,,,,,,,,
MCLA,1,2,6,6,1,2,4,3,2,,,,2,3,,,,,3,,,,,,,,,,
MCLA,1,2,7,7,1,2,3,2,1,,,,,2,1,,1,1,,25,,,,,,,,,
MCLA,1,2,8,8,1,2,3,2,3,,,,3,3,1,,,,,5,2,2,,,,,,,
MCLA,1,2,9,1,2,3,3,4,3,1,,,2,,,,1,,2,15,,,,,,,,,
MCLA,1,2,10,2,2,2,2,5,2,1,2,,2,1,,,,,,,,,,,,,,,
MCLA,1,2,11,3,2,3,3,4,3,1,2,,2,3,,,,,,,,,1,,,,,,
MCLA,1,2,12,4,2,3,4,3,2,,1,,,3,,,,,2,,,,,,,,,,
MCLA,1,2,13,5,2,2,4,2,2,,,,,4,,2,1,,3,,,,,,,,,,
MCLA,1,2,14,6,2,2,2,3,,,,,,4,,,,,3,30,,,,3,,,,,
MCLA,1,2,15,7,2,2,3,4,2,1,,,2,3,,2,,1,,20,,,,,3,,,,
MCLA,1,2,16,8,2,2,2,4,1,2,,,1,3,,,1,2,,15,1,,,,2,2,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,TaeCap,VulMyu,AirCar,BriMin,TriHir,TriDub,TriWhite,AveBar,GalPar,LatSph,MadGra,ClaPur,HypGla,Bare,TriMicro,DicCap,TriWil,CasAtt,CalCil,,,,
MCLA,1,2,1,1,3,2,4,3,1,1,,2,,1,1,2,1,,1,,,,,,,,,,
MCLA,1,2,2,2,3,2,4,2,,,3,2,2,,,2,,2,,4,,,,,,,,,
MCLA,1,2,3,3,3,2,4,3,,,,2,2,,,2,1,1,1,7,1,,,,,,,,
MCLA,1,2,4,4,3,2,4,3,,,,2,,,1,3,,1,,4,,1,,,,,,,
MCLA,1,2,5,5,3,1,3,1,1,,2,1,,,,4,,2,2,,,2,1,2,,,,,
MCLA,1,2,6,6,3,2,4,2,1,,1,1,2,,,3,,2,,10,,1,,,1,,,,
MCLA,1,2,7,7,3,1,4,3,,,1,1,2,,,3,,2,1,,,,,,2,,,,
MCLA,1,2,8,8,3,1,4,3,,,,2,,1,1,3,,,1,,,1,,,,,,,
MCLA,1,2,9,1,4,2,5,2,,,,1,,2,1,2,,1,,,,,,,,,,,
MCLA,1,2,10,2,4,2,5,2,,,1,1,,1,,2,1,,,20,,,,,,,,,
MCLA,1,2,11,3,4,1,4,2,,,,,,3,,3,,,,,,,,,,,,,
MCLA,1,2,12,4,4,2,4,3,1,,2,,2,1,,3,2,,3,,,1,,,,,,,
MCLA,1,2,13,5,4,2,4,2,2,,1,,,,,4,,,3,,,,,1,2,,,,
MCLA,1,2,14,6,4,1,3,2,,,,,2,,,5,,,1,,,1,,,,,,,
MCLA,1,2,15,7,4,2,2,3,,,,,,,,5,,2,2,,,1,,,,,,,
MCLA,1,2,16,8,4,2,4,3,1,1,,2,2,,,0,,2,,30,,1,,1,3,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,TaeCap,VulMyu,AirCar,LatSph,HypGla,TriHir,TriDub,TriWhite,TriMicroceph,AveBar,ClaPur,Bare,DicCap,GalPar,CalCil,MadGra,BriMin,VicVel,TriGracil,,,,
MCLA,1,2,1,1,5,2,5,2,1,2,2,2,2,,1,1,2,,,,,,,,,,,,
MCLA,1,2,2,2,5,2,3,3,,3,1,3,2,,2,1,,8,1,,,,,,,,,,
MCLA,1,2,3,3,5,3,4,3,,4,2,1,,3,,,,3,,1,,,,,,,,,
MCLA,1,2,4,4,5,2,5,3,,3,,,,,,,,,,,,,,,,,,,
MCLA,1,2,5,5,5,2,5,3,,4,,,,,,,,3,1,,,,,,,,,,
MCLA,1,2,6,6,5,2,4,3,,4,1,,,,,,3,8,1,,2,,,,,,,,
MCLA,1,2,7,7,5,2,2,3,1,4,,,,,,,2,50,,,2,2,,,,,,,
MCLA,1,2,8,8,5,2,3,3,,3,2,,,,,,3,7,1,,2,,,,,,,,
MCLA,1,2,9,1,6,2,3,3,1,2,,,,,2,,3,,1,,,,1,2,,,,,
MCLA,1,2,10,2,6,2,4,2,1,2,2,2,2,,1,2,3,4,1,,1,,,,,,,,
MCLA,1,2,11,3,6,2,4,3,2,3,2,,2,,,,1,,,,,1,,,,,,,
MCLA,1,2,12,4,6,2,3,4,,2,1,,1,,,,,,1,1,,,,,,,,,
MCLA,1,2,13,5,6,2,2,4,,2,,,2,,,,2,50,,,,,1,,,,,,
MCLA,1,2,14,6,6,2,4,3,,3,2,,1,,,,2,3,2,,,,,,2,,,,
MCLA,1,2,15,7,6,2,3,3,,4,,2,,,,,2,25,1,,,1,,,,,,,
MCLA,1,2,16,8,6,2,3,4,,3,2,2,1,2,,,3,6,,,3,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,TaeCap,VulMyu,AirCar,VicVel,LatSph,ClaPur,TriHir,TriDub,TriWhite,GalPar,DicCap,BriMin,HypGla,Bare,MadGra,EroBot,CasAtt,FilGal,CalCil,TriMicroceph,DaucPusil,AveBar,TriCil
MCLA,1,2,1,1,7,2,4,3,2,2,2,3,2,,,1,1,,,,,,,,,,,,
MCLA,1,2,2,2,7,2,5,2,1,,2,3,2,,,,1,1,1,,,,,,,,,,
MCLA,1,2,3,3,7,2,5,2,,,3,2,,1,,,,1,2,3,,,,,,,,,
MCLA,1,2,4,4,7,2,4,3,,,4,2,,1,,1,1,,1,,1,1,,,,,,,
MCLA,1,2,5,5,7,2,2,2,2,,3,2,,1,,,,1,3,30,,,1,2,,,,,
MCLA,1,2,6,6,7,2,3,3,,,4,2,,,,1,,,3,25,,,1,,,,,,
MCLA,1,2,7,7,7,2,2,4,,,3,3,1,1,,1,1,2,,50,,,,,2,,,,
MCLA,1,2,8,8,7,2,2,3,1,,4,2,,2,,,,1,1,20,,1,,,3,2,1,,
MCLA,1,2,9,1,8,3,5,3,,2,2,1,2,,,,,,,,,,,,,,,2,
MCLA,1,2,10,2,8,2,5,3,2,2,3,2,,2,,,1,,,,,,,,,,,,2
MCLA,1,2,11,3,8,2,4,3,1,,4,1,,2,,,1,,,,,1,1,,,,,,
MCLA,1,2,12,4,8,2,4,3,,,3,1,2,,,,,,,6,,1,,,,,,,
MCLA,1,2,13,5,8,2,4,3,,,3,1,,1,,,1,,,,,,,,,,,,
MCLA,1,2,14,6,8,2,4,4,,,3,3,,1,,,1,,,,,1,,,,,,,
