SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,AveFat,AirCar,TriDub,TriHir,VulMyu,TriWhite,GalPar,Bare,DicCap,MadGra,HypGla,VicVel,BroDia,EroBot,TaeCap,TriCil,LatSph,ClaPur,TriWra,,,,
MCLA,2,2,14,6,6,2,4,4,2,,1,,,1,5,2,,,,,,1,,,,,,,
MCLA,2,2,15,7,6,3,3,5,2,1,2,,,,,,,,,,,,,,,,,,
MCLA,2,2,16,8,6,3,2,6,2,,,,,,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,VulMyu,TaeCap,VicVil,GerDis,AveBar,DicCap,MadGra,AirCar,ClaPur,EroBot,Bare,Cardamine,MicCal,GalPar,,,,,,,,,
MCLA,2,2,1,1,7,5,2,4,2,1,2,,,,,,,,,,,,,,,,,,
MCLA,2,2,2,2,7,5,3,4,,,1,2,,,,,,,,,,,,,,,,,
MCLA,2,2,3,3,7,4,3,5,2,,,1,,,,,,,,,,,,,,,,,
MCLA,2,2,4,4,7,4,3,4,2,1,,,2,,,,,,,,,,,,,,,,
MCLA,2,2,5,5,7,3,3,5,2,,1,,,,,,,,,,,,,,,,,,
MCLA,2,2,6,6,7,3,4,5,,,,1,,,,,,,,,,,,,,,,,
MCLA,2,2,7,7,7,4,3,5,2,,,,,2,,,,,,,,,,,,,,,
MCLA,2,2,8,8,7,3,0,6,2,,,1,,,,,,,,,,,,,,,,,
MCLA,2,2,9,1,8,5,2,4,2,2,1,1,,,1,,,,,,,,,,,,,,
MCLA,2,2,10,2,8,4,4,3,3,,1,,,,,,,,,,,,,,,,,,
MCLA,2,2,11,3,8,4,5,3,2,3,,,2,,2,2,12,1,,,,,,,,,,,
MCLA,2,2,12,4,8,5,3,3,3,2,,,,,,,,,2,1,,,,,,,,,
MCLA,2,2,13,5,8,5,3,4,3,2,,,,,,,,,,,,,,,,,,,
MCLA,2,2,14,6,8,4,2,5,2,2,1,1,,,,,,,,,,,,,,,,,
MCLA,2,2,15,7,8,5,3,4,,2,1,,,2,1,,,,,,,,,,,,,,
MCLA,2,2,16,8,8,3,2,6,,1,,1,,,1,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,TaeCap,VicVil,VulMyu,BroHor,MicCal,HypGla,ClaPur,Bare,GalPar,EroBot,BroDia,LupBic,TriEri,,,,,,,,,,
MCLA,3,1,1,1,1,4,4,3,4,3,,,,,,,,,,,,,,,,,,,
MCLA,3,1,2,2,1,3,4,4,5,3,,,,,,,,,,,,,,,,,,,
MCLA,3,1,3,3,1,3,4,4,2,3,1,,1,5,,,,,,,,,,,,,,,
MCLA,3,1,4,4,1,4,4,3,2,3,,,,,,,,,,,,,,,,,,,
MCLA,3,1,5,5,1,3,4,4,1,2,,,,,,,,,,,,,,,,,,,
MCLA,3,1,6,6,1,3,5,3,1,3,2,,1,,,,,,,,,,,,,,,,
MCLA,3,1,7,7,1,2,4,3,1,4,2,,2,,,,,,,,,,,,,,,,
MCLA,3,1,8,8,1,2,3,3,1,3,4,2,1,,1,2,,,,,,,,,,,,,
MCLA,3,1,9,1,2,4,3,3,2,2,,,,,,,,,,,,,,,,,,,
MCLA,3,1,10,2,2,3,3,5,1,2,,,1,,,,,,,,,,,,,,,,
MCLA,3,1,11,3,2,2,3,5,1,1,,,,,,,2,,,,,,,,,,,,
MCLA,3,1,12,4,2,3,4,3,0,2,,,,,,,2,,,,,,,,,,,,
MCLA,3,1,13,5,2,2,4,4,0,3,,,,,,,,,,,,,,,,,,,
MCLA,3,1,14,6,2,1,4,4,0,4,1,,1,,1,,,,,,,,,,,,,,
MCLA,3,1,15,7,2,0,3,4,0,4,2,,2,,1,,2,,,,,,,,,,,,
MCLA,3,1,16,8,2,1,2,3,0,4,4,3,2,,1,,,1,2,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,BroHor,VulMyu,TaeCap,VicVil,Bare,MicCal,AnaArv,DicCap,BroDia,ClaPur,AirCar,HypGla,GalPar,EroBot,,,,,,,,,
MCLA,3,1,1,1,3,4,2,2,3,4,,2,,,,,,,,,,,,,,,,,
MCLA,3,1,2,2,3,4,2,1,3,5,,,1,,,,,,,,,,,,,,,,
MCLA,3,1,3,3,3,3,3,2,4,4,,1,,1,,,,,,,,,,,,,,,
MCLA,3,1,4,4,3,0,2,1,3,5,,,,,2,,,,,,,,,,,,,,
MCLA,3,1,5,5,3,2,3,2,3,4,,2,,,3,2,,,,,,,,,,,,,
MCLA,3,1,6,6,3,2,3,2,3,3,,2,,,4,3,,,,,,,,,,,,,
MCLA,3,1,7,7,3,0,3,2,3,4,,3,,,2,2,1,2,1,,,,,,,,,,
MCLA,3,1,8,8,3,0,3,0,4,4,,3,,,,1,,2,1,,,,,,,,,,
MCLA,3,1,9,1,4,5,2,2,3,3,,,,,1,,,,,,,,,,,,,,
MCLA,3,1,10,2,4,2,3,1,2,5,,,,,1,,,,,,,,,,,,,,
MCLA,3,1,11,3,4,1,3,1,3,5,,,,,1,,,2,,,,,,,,,,,
MCLA,3,1,12,4,4,1,3,2,3,5,,,,,,1,1,,1,,,,,,,,,,
MCLA,3,1,13,5,4,1,4,2,3,4,15,,,,,2,,,,,,,,,,,,,
MCLA,3,1,14,6,4,0,4,1,3,4,,2,,,2,,,,,,,,,,,,,,
MCLA,3,1,15,7,4,1,4,1,4,4,8,3,,,,2,,,1,,,,,,,,,,
MCLA,3,1,16,8,4,0,3,,3,4,35,2,,,,2,,,1,2,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,BroHor,VulMyu,TaeCap,VicVil,MicCal,HypGla,GalPar,DicCap,MadGra,BroDia,ClaPur,Bare,CasAtt,AirCar,LupBic,EroBot,BriMin,TriHir,,,,,
MCLA,3,1,1,1,5,4,3,,3,3,,,,,,,,,,,,,,,,,,,
MCLA,3,1,2,2,5,3,3,,4,3,,,,,,,,,,,,,,,,,,,
MCLA,3,1,3,3,5,0,3,2,4,4,2,1,1,1,1,2,1,,,,,,,,,,,,
MCLA,3,1,4,4,5,2,3,,4,3,3,2,1,,,,2,4,1,,,,,,,,,,
MCLA,3,1,5,5,5,2,3,,4,4,4,2,,,,1,3,,,,,,,,,,,,
MCLA,3,1,6,6,5,2,2,,3,3,3,2,1,,,,2,,,1,,,,,,,,,
MCLA,3,1,7,7,5,2,2,,3,3,3,4,2,,,,3,,2,2,1,,,,,,,,
MCLA,3,1,8,8,5,0,2,,3,3,3,3,1,,,,3,15,2,1,,1,,,,,,,
MCLA,3,1,9,1,6,4,3,,3,3,,,,,,,1,,,,,,,,,,,,
MCLA,3,1,10,2,6,3,3,2,4,3,3,2,,,,,2,7,,1,,,,,,,,,
MCLA,3,1,11,3,6,2,2,,3,4,,,,1,,2,,20,,,,,,,,,,,
MCLA,3,1,12,4,6,2,3,2,4,4,2,,,1,,,3,,,1,1,,1,,,,,,
MCLA,3,1,13,5,6,,3,,6,3,,2,1,,,,2,,,,,1,,,,,,,
MCLA,3,1,14,6,6,,2,2,5,4,,3,3,,,,3,,,2,1,,,,,,,,
MCLA,3,1,15,7,6,1,3,,4,3,2,3,3,,,,3,,2,3,,,,,,,,,
MCLA,3,1,16,8,6,,3,,4,4,3,3,2,,,,,,3,,,,,2,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,BroHor,BroDia,VulMyu,TaeCap,VicVil,HypGla,MicCal,EroBot,CasAtt,DicCap,Bare,ClaPur,GalPar,AirCar,LupBic,,,,,,,,
MCLA,3,1,1,1,7,2,3,,2,3,3,2,2,2,,1,,1,,,,,,,,,,,
MCLA,3,1,2,2,7,2,3,,1,4,3,,1,,,1,,,1,,,,,,,,,,
MCLA,3,1,3,3,7,,2,4,,3,3,,,,,,,,,,,,,,,,,,
MCLA,3,1,4,4,7,2,3,1,,4,4,,1,,,,,,1,,,,,,,,,,
MCLA,3,1,5,5,7,1,3,,1,5,3,,3,,,,,2,,,,,,,,,,,
MCLA,3,1,6,6,7,1,3,,,5,3,,,,,,,2,2,,,,,,,,,,
MCLA,3,1,7,7,7,,2,,,5,2,2,,1,1,,,2,1,1,,,,,,,,,
MCLA,3,1,8,8,7,,3,,,4,3,3,2,,2,,,3,3,,1,,,,,,,,
MCLA,3,1,9,1,8,2,2,,2,3,3,,,1,,1,,2,2,,,,,,,,,,
MCLA,3,1,10,2,8,2,3,1,,4,4,,,,,1,,,,,,,,,,,,,
MCLA,3,1,11,3,8,2,3,,2,5,3,,,,,2,,,,,,,,,,,,,
MCLA,3,1,12,4,8,2,2,1,,4,4,,1,,,1,,,,,,,,,,,,,
MCLA,3,1,13,5,8,,3,,1,4,4,,2,,,1,,1,,,,,,,,,,,
MCLA,3,1,14,6,8,1,3,,,5,4,,1,,,,,,,,,,,,,,,,
MCLA,3,1,15,7,8,2,1,,,6,4,,,2,,,,1,,,,,,,,,,,
MCLA,3,1,16,8,8,,2,,,4,2,2,,,,,,1,2,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,TaeCap,AveBar,HypGla,GalPar,FilGal,ClaPur,AirCar,CasAtt,LupBic,BroDia,VicVil,MicCal,NavPub,TriMicroceph,EroBot,VulMyu,TriHir,BriMin,LotWra,,,,
MCLA,3,2,1,1,1,4,2,1,4,2,2,2,1,1,1,1,2,,,,,,,,,,,,
MCLA,3,2,2,2,1,4,2,1,3,2,,,1,,,2,2,2,2,,,,,,,,,,
MCLA,3,2,3,3,1,5,,1,2,1,,1,1,,,,,1,,2,1,,,,,,,,
MCLA,3,2,4,4,1,5,2,1,3,,,,1,,,1,2,3,,2,,1,,,,,,,
MCLA,3,2,5,5,1,5,1,2,2,,,,3,,,,,1,2,3,,,,,,,,,
MCLA,3,2,6,6,1,5,2,1,3,,,1,2,,,,1,2,,1,,,,,,,,,
MCLA,3,2,7,7,1,5,2,,4,,,,,1,,,2,1,,1,,,,,,,,,
MCLA,3,2,8,8,1,5,2,2,3,2,,1,,,,,,1,,,,,,,,,,,
MCLA,3,2,9,1,2,4,,,2,1,,2,1,,,,2,,,,,,,,,,,,
MCLA,3,2,10,2,2,4,1,1,3,2,,2,1,,,,,1,,1,,,,,,,,,
MCLA,3,2,11,3,2,4,,5,3,,,1,,,,,2,1,,,,2,1,,,,,,
MCLA,3,2,12,4,2,6,2,2,2,1,,,2,,,,,1,,1,,,,,,,,,
MCLA,3,2,13,5,2,5,1,4,2,,,,2,,,,,2,,1,,,,1,1,,,,
MCLA,3,2,14,6,2,6,1,2,3,,,1,2,,,,,2,,1,,,2,,,,,,
MCLA,3,2,15,7,2,5,1,2,2,,,1,1,,1,,,2,,2,,1,1,,,,,,
MCLA,3,2,16,8,2,5,2,2,2,2,,1,,,,1,2,1,,,,,1,,2,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,TaeCap,AveBar,HypGla,ClaPur,AirCar,MicCal,TriMic,VicVil,CasAtt,GalPar,NavPub,DaucPusil,TriHir,TriCil,BroDia,BriMin,CarPac,Bare,LupBic,LotWra,VulMyu,,
MCLA,3,2,1,1,3,4,2,,2,2,1,2,,3,2,2,,,,,,,,,,,,,
MCLA,3,2,2,2,3,4,2,,6,1,,,,,2,2,,,,,,,,,,,,,
MCLA,3,2,3,3,3,4,,2,6,1,,2,,2,2,2,,,,,,,,,,,,,
MCLA,3,2,4,4,3,4,1,,4,2,1,2,,2,1,2,,,,,,,,,,,,,
MCLA,3,2,5,5,3,4,1,2,4,,,3,2,2,2,1,3,1,,,,,,,,,,,
MCLA,3,2,6,6,3,5,,1,4,1,,2,1,3,,,,,3,1,,,,,,,,,
MCLA,3,2,7,7,3,4,,4,,1,1,1,2,3,,,,,2,,1,1,,,,,,,
MCLA,3,2,8,8,3,4,1,1,4,1,1,2,2,2,,3,,,3,2,,,1,,,,,,
MCLA,3,2,9,1,4,3,4,,3,,1,,,4,2,1,,,,,2,,,2,,,,,
MCLA,3,2,10,2,4,4,2,,3,2,3,,,2,3,2,,,,,,,,,,,,,
MCLA,3,2,11,3,4,3,1,1,5,1,,3,,2,,3,,,,,,,,,,,,,
MCLA,3,2,12,4,4,4,1,1,3,1,1,3,,2,1,2,2,,,,,,,,1,,,,
MCLA,3,2,13,5,4,4,2,1,3,,,3,,2,1,,1,,,,,,,,,1,,,
MCLA,3,2,14,6,4,4,2,,4,,,3,2,4,,,,,,2,,,,,,,1,,
MCLA,3,2,15,7,4,5,2,3,1,,,2,,,,,,,,3,,,,,4,,,,
MCLA,3,2,16,8,4,5,2,,1,1,,1,,,,1,,,,3,1,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,TaeCap,AveBar,HypGla,ClaPur,MicCal,VicVil,CasAtt,GalPar,Bare,LupBic,DaucPusil,AirCar,LotWra,AnaArv,TriHir,TriMic,NavPub,PlaLan,TriCil,BroDia,,,
MCLA,3,2,1,1,5,3,3,,4,2,3,4,2,4,10,2,1,,,,,,,,,,,,
MCLA,3,2,2,2,5,3,2,1,4,2,3,4,2,3,,1,,1,,,,,,,,,,,
MCLA,3,2,3,3,5,4,2,,5,2,2,2,2,2,,,,,1,,,,,,,,,,
MCLA,3,2,4,4,5,4,3,1,4,2,3,3,1,1,,,,,3,1,,,,,,,,,
MCLA,3,2,5,5,5,4,3,,3,,4,4,1,1,,1,,,,,1,,,,,,,,
MCLA,3,2,6,6,5,3,2,1,2,,5,4,,1,,,,,,,2,2,1,,,,,,
MCLA,3,2,7,7,5,5,3,2,,,,3,,,,,,,,,1,,,,,,,,
MCLA,3,2,8,8,5,5,2,1,,,1,3,,1,,,,,,,3,,,,,,,,
MCLA,3,2,9,1,6,2,4,1,5,2,,3,,,,,,2,,,,,,1,,,,,
MCLA,3,2,10,2,6,2,4,1,5,2,3,4,,1,,,,,,,,,,,,,,,
MCLA,3,2,11,3,6,4,4,,3,1,2,4,1,2,,,,,,,,,,,,,,,
MCLA,3,2,12,4,6,4,4,,2,,2,4,,1,,,,,1,,,,,,1,,,,
MCLA,3,2,13,5,6,3,3,1,1,,4,5,,,,,,,,,1,,,,,,,,
MCLA,3,2,14,6,6,4,2,1,2,,2,4,,1,,,,,,,2,,,,2,,,,
MCLA,3,2,15,7,6,4,3,1,,,,5,,,,,,,,,2,,,,,,,,
MCLA,3,2,16,8,6,4,3,1,,,,5,,,,,,,,,2,,,,,1,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BroHor,TaeCap,VicVil,MicCal,AveBar,HypGla,GalPar,ClaPur,LupBic,CasAtt,NavPub,AirCar,TriCil,EroBot,TriHir,Bare,Rock,BroDia,,,,,,
MCLA,3,2,1,1,7,1,6,4,,,3,1,2,2,,,,,,,,,,,,,,,
MCLA,3,2,2,2,7,1,5,3,2,,4,,2,2,1,1,1,,,,,,,,,,,,
MCLA,3,2,3,3,7,2,6,5,,,2,,,,,,,1,,,,,,,,,,,
MCLA,3,2,4,4,7,3,5,4,2,,2,1,,2,,,1,1,,,,,,,,,,,
MCLA,3,2,5,5,7,3,5,4,1,,2,1,,1,,,,,1,,,,,,,,,,
MCLA,3,2,6,6,7,3,3,6,1,1,1,,,,,,,,1,1,,,,,,,,,
MCLA,3,2,7,7,7,3,2,5,,,,,,,,,,,,1,,,,,,,,,
MCLA,3,2,8,8,7,3,3,4,,3,,,,,,,,,,1,10,10,,,,,,,
MCLA,3,2,9,1,8,,6,4,,,2,1,1,,,,,,,,,,,,,,,,
MCLA,3,2,10,2,8,1,6,4,,,2,1,,,,,,1,,,,,,,,,,,
MCLA,3,2,11,3,8,1,6,5,,,,1,,,,,,,,,,,,,,,,,
MCLA,3,2,12,4,8,3,6,5,,,1,1,,1,,,,,,,,,,,,,,,
MCLA,3,2,13,5,8,4,4,4,,1,2,1,2,,,,,,,,,,2,,,,,,
MCLA,3,2,14,6,8,5,3,4,,1,,,,1,,,,,,,,,,,,,,,
MCLA,3,2,15,7,8,3,5,4,,2,,,,,,,,,,,,,2,,,,,,
MCLA,3,2,16,8,8,4,3,3,,2,,,,,,,,,,2,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,BroHor,BroDia,VulMyu,TaeCap,VicVil,HypGla,MicCal,ClaPur,EroBot,LupBic,AirCar,GerDis,GalPar,DicCap,Bare,CroSet,CalCil,BriMin,,,,,
MCLA,4,1,1,1,1,2,3,,2,5,4,,,,,3,1,2,1,,,,,,,,,,
MCLA,4,1,2,2,1,3,2,,,6,3,,,,,,,,,,,,,,,,,,
MCLA,4,1,3,3,1,4,,,,5,3,,,,,,1,,1,1,10,1,,,,,,,
MCLA,4,1,4,4,1,4,3,,,5,,,,,,,,,,,20,,,,,,,,
MCLA,4,1,5,5,1,3,4,,2,3,2,,4,1,,,,,,2,30,,,,,,,,
MCLA,4,1,6,6,1,1,4,,2,4,,,4,,,2,,,1,1,,,,,,,,,
MCLA,4,1,7,7,1,2,4,,2,3,3,3,2,,2,,1,,1,1,5,,2,,,,,,
MCLA,4,1,8,8,1,2,3,,2,5,,3,,1,,2,2,,1,,,,,,,,,,
MCLA,4,1,9,1,2,1,3,,2,4,5,,,,,1,,,1,,,,,,,,,,
MCLA,4,1,10,2,2,2,3,,2,6,3,,,,,,,,1,,,,,,,,,,
MCLA,4,1,11,3,2,4,3,,,4,2,,,,1,,2,,,,,,,,,,,,
MCLA,4,1,12,4,2,4,3,,,5,,,,,,,1,,,,,,,,,,,,
MCLA,4,1,13,5,2,3,4,,1,5,,,,1,,,,,,1,,,,,,,,,
MCLA,4,1,14,6,2,1,3,,5,3,,,3,1,,,1,1,1,,4,,,,,,,,
MCLA,4,1,15,7,2,3,4,,3,3,,2,1,,,1,,,,1,,,,,,,,,
MCLA,4,1,16,8,2,,3,,3,4,,,1,,,1,2,,,,,,2,1,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,BroHor,TaeCap,VicVil,VulMyu,GalPar,AirCar,GerDis,MicCal,ClaPur,EroBot,LupBic,Bare,DicCap,CroSet,HypGla,TriCil,CasAtt,BroDia,TriMic,,,,
MCLA,4,1,1,1,3,,3,5,4,2,1,,2,,,,,,,,,,,,,,,,
MCLA,4,1,2,2,3,2,3,3,,5,1,2,,3,,1,1,,,,,,,,,,,,
MCLA,4,1,3,3,3,1,2,6,,3,1,2,,2,,,,,,,,,,,,,,,
MCLA,4,1,4,4,3,4,3,4,,5,,,,,1,1,2,,,,,,,,,,,,
MCLA,4,1,5,5,3,1,3,5,,3,1,2,,,,,,4,,,,,,,,,,,
MCLA,4,1,6,6,3,,3,5,,3,,,,,2,,,6,2,1,,,,,,,,,
MCLA,4,1,7,7,3,2,4,4,,4,1,,,,,,,8,1,,1,,,,,,,,
MCLA,4,1,8,8,3,1,4,4,2,4,1,1,,,,,,,1,,2,2,,,,,,,
MCLA,4,1,9,1,4,,2,4,1,4,,2,,,1,3,,,,,2,,1,,,,,,
MCLA,4,1,10,2,4,,2,2,,5,2,2,,3,2,2,,,,,,,,,,,,,
MCLA,4,1,11,3,4,1,2,4,,2,1,3,,2,,3,,,,,,,,,,,,,
MCLA,4,1,12,4,4,1,1,4,,3,1,2,,5,,3,,,1,,1,,,,,,,,
MCLA,4,1,13,5,4,,3,6,,2,2,1,,,,,,,,,2,,,,,,,,
MCLA,4,1,14,6,4,1,4,4,,3,,1,,1,,2,1,,2,,3,,,,,,,,
MCLA,4,1,15,7,4,1,4,5,,3,2,1,,,1,,,,1,,,,,1,1,,,,
MCLA,4,1,16,8,4,1,5,2,,3,,,,2,,1,1,,,,2,,1,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,BroHor,TaeCap,VulMyu,GalPar,MicCal,EroBot,AirCar,ClaPur,LupBic,VicVil,Bare,DicCap,CroSet,LolMul,HypGla,BroDia,TriFuc,BriMin,CerGlo,,,,
MCLA,4,1,1,1,5,1,3,2,6,,2,2,1,1,,,,,,,,,,,,,,,
MCLA,4,1,2,2,5,,2,3,5,1,2,3,2,1,1,2,,,,,,,,,,,,,
MCLA,4,1,3,3,5,,4,3,4,2,,3,,,,,,,,,,,,,,,,,
MCLA,4,1,4,4,5,,4,4,4,2,,2,1,1,,,12,1,,,,,,,,,,,
MCLA,4,1,5,5,5,,5,4,3,1,,2,,,,,15,,,,,,,,,,,,
MCLA,4,1,6,6,5,2,5,2,2,,,2,,,,,,1,1,1,,,,,,,,,
MCLA,4,1,7,7,5,2,4,4,3,,,,,,,3,,1,,,1,,,,,,,,
MCLA,4,1,8,8,5,2,5,3,3,1,,,1,,2,,2,,,,3,3,2,,,,,,
MCLA,4,1,9,1,6,,2,3,4,,2,2,2,,,,,,,,,,,1,,,,,
MCLA,4,1,10,2,6,,2,4,5,,2,2,,1,,,,,,,,,,,,,,,
MCLA,4,1,11,3,6,,3,4,5,1,,2,1,,2,,,,,,1,,,,,,,,
MCLA,4,1,12,4,6,2,3,5,4,2,,2,3,1,2,,,,,,,,,,,,,,
MCLA,4,1,13,5,6,,5,3,3,1,1,,2,1,,,5,1,,,,,,,,,,,
MCLA,4,1,14,6,6,3,4,3,2,1,,,2,1,,,20,,,,1,,,,1,,,,
MCLA,4,1,15,7,6,4,4,2,2,,,,1,,1,,7,1,,,1,,,,,,,,
MCLA,4,1,16,8,6,2,3,6,2,,,,,,,,,1,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,BroHor,TaeCap,VulMyu,GalPar,MicCal,EroBot,AirCar,DelVar,BriMin,TriEri,PlaLan,HypGla,ClaPur,DicCap,TriCil,Bare,LupBic,GerDis,CasAtt,,,,
MCLA,4,1,1,1,7,,2,3,2,2,,,4,1,2,1,2,3,,,,,,,,,,,
MCLA,4,1,2,2,7,,3,5,4,1,,,1,,,,,2,2,,,,,,,,,,
MCLA,4,1,3,3,7,1,4,3,5,,3,,,,,,,2,2,,,,,,,,,,
MCLA,4,1,4,4,7,,2,3,2,1,1,,3,,,,,3,3,1,,,,,,,,,
MCLA,4,1,5,5,7,,5,3,2,2,,,2,,,,,,2,,1,25,,,,,,,
MCLA,4,1,6,6,7,,5,3,3,,,,,,,,,1,1,,,,,,,,,,
MCLA,4,1,7,7,7,3,4,5,2,,,,,,,,,,,,,,,,,,,,
MCLA,4,1,8,8,7,,4,4,2,,,,,,,,,1,2,,,10,,,,,,,
MCLA,4,1,9,1,8,,,4,2,,2,,3,,,,,2,,,,,1,1,,,,,
MCLA,4,1,10,2,8,,2,4,3,,4,,1,3,,,,,,,,30,,,,,,,
MCLA,4,1,11,3,8,,3,4,2,,4,,1,,,,,1,,,,20,1,,,,,,
MCLA,4,1,12,4,8,,2,2,4,1,,,4,,,,,2,1,,,,2,1,,,,,
MCLA,4,1,13,5,8,,2,5,4,1,1,,3,,,,,,2,,,,,,,,,,
MCLA,4,1,14,6,8,,2,7,,1,,,,,,,,,,,,,,,,,,,
MCLA,4,1,15,7,8,,2,7,,,,,,,,,,,,,,,,,,,,,
MCLA,4,1,16,8,8,,4,4,4,,,,,,,,,2,,,,15,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,BroHor,VulMyu,TaeCap,AirCar,BriMin,HypGla,DicCap,CynEch,Galpar,LupBic,CasAtt,TriFuc,MicCal,CerGlo,BroDia,Bare,ClaPur,VicVIl,EroBot,TriCil,,,
MCLA,4,2,1,1,1,4,2,1,2,4,1,4,1,1,1,2,1,1,,,,,,,,,,,
MCLA,4,2,2,2,1,3,4,3,2,4,2,3,1,,,,,1,2,1,,,,,,,,,
MCLA,4,2,3,3,1,2,3,2,3,4,,4,1,,1,,1,2,2,,1,2,,,,,,,
MCLA,4,2,4,4,1,2,3,4,2,4,1,3,1,1,1,1,,,,,2,,1,,,,,,
MCLA,4,2,5,5,1,3,2,2,2,4,2,4,1,,,1,,,,,,,1,,,,,,
MCLA,4,2,6,6,1,3,3,1,5,3,,2,1,,1,2,,,,,,,,,,,,,
MCLA,4,2,7,7,1,2,3,1,5,3,2,,1,,1,2,,,,,,,,,,,,,
MCLA,4,2,8,8,1,1,4,3,4,3,,2,2,,2,2,,,,,,,1,3,1,,,,
MCLA,4,2,9,1,2,3,3,2,2,4,1,3,1,2,1,2,1,,,,,,,3,,,,,
MCLA,4,2,10,2,2,1,3,4,2,3,,4,1,2,1,2,1,,,,,,,,,1,,,
MCLA,4,2,11,3,2,2,3,4,3,3,,3,,,1,1,2,1,1,,,10,,,,,,,
MCLA,4,2,12,4,2,2,2,5,2,2,,,,,1,,,,,,,,,,,,,,
MCLA,4,2,13,5,2,3,2,3,4,2,,,1,,1,1,,,,,,,,,,,,,
MCLA,4,2,14,6,2,2,4,2,4,2,,1,,,2,2,,,,,,,,,,,,,
MCLA,4,2,15,7,2,2,3,1,5,2,1,,,,2,1,,,1,,,,1,,,,,,
MCLA,4,2,16,8,2,2,5,3,2,3,,1,,,1,1,,,1,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,BroHor,VulMyu,TaeCap,AirCar,HypGla,DicCap,GalPar,LupBic,CynEch,MicCal,Bare,BriMin,TriFuc,TriHir,Torilis,ClaPUr,EroBot,CasAtt,,,,,
MCLA,4,2,1,1,3,1,4,3,3,2,3,2,2,2,2,2,8,,,,,,,,,,,,
MCLA,4,2,2,2,3,,3,4,3,4,2,1,1,,,,,,,,,,,,,,,,
MCLA,4,2,3,3,3,2,4,3,4,3,3,1,2,1,,1,15,1,1,,,,,,,,,,
MCLA,4,2,4,4,3,2,3,2,3,4,3,,1,,1,,,1,,1,1,,,,,,,,
MCLA,4,2,5,5,3,1,3,2,4,4,1,1,1,2,,,,,,,,,,,,,,,
MCLA,4,2,6,6,3,2,5,3,2,2,1,,2,2,,2,,,,,,1,,,,,,,
MCLA,4,2,7,7,3,2,5,4,2,,,,1,2,,2,,,,,,1,,,,,,,
MCLA,4,2,8,8,3,2,5,2,2,4,2,,1,2,,3,,,,,,,1,,,,,,
MCLA,4,2,9,1,4,1,3,3,2,2,2,1,1,2,1,4,20,,2,,,,,1,,,,,
MCLA,4,2,10,2,4,1,3,5,3,,2,1,2,2,2,2,,,,,,,,,,,,,
MCLA,4,2,11,3,4,1,3,3,3,4,2,,,,2,3,2,,,,,,,,,,,,
MCLA,4,2,12,4,4,2,3,5,2,2,2,,1,1,,2,5,,,,,,2,,,,,,
MCLA,4,2,13,5,4,1,4,4,4,,2,,1,2,,,,,,,,,,,,,,,
MCLA,4,2,14,6,4,2,4,4,3,2,3,,2,2,,,,,,,,,,,,,,,
MCLA,4,2,15,7,4,1,2,6,3,,,,,,,,,,,,,,,,,,,,
MCLA,4,2,16,8,4,1,1,6,3,,,,,1,,,,,,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,BroHor,VulMyu,TaeCap,AirCar,HypGla,GalPar,LupBic,MicCal,DicCap,CynEch,Rock,Bare,EroBot,ClaPur,PlaLan,BroDia,,,,,,,
MCLA,4,2,1,1,5,,6,2,2,2,1,1,,3,,1,4,4,,,,,,,,,,,
MCLA,4,2,2,2,5,,4,3,2,4,2,1,,3,,1,,,,,,,,,,,,,
MCLA,4,2,3,3,5,1,5,3,3,2,1,,,2,1,,,13,1,1,1,,,,,,,,
MCLA,4,2,4,4,5,1,4,4,4,2,1,1,1,1,,,,14,,1,,,,,,,,,
MCLA,4,2,5,5,5,1,4,4,4,,,2,1,,1,,,15,,2,,,,,,,,,
