Name: Eviner Lab Penetrometer         																						
Serial #:  2062 																						
Datum: WGS 84																						
Soil Compation In KPa																						
Longitude	Latitude	Number	0.0 cm	2.5 cm	5.0 cm	7.5 cm	10.0 cm	12.5 cm	15.0 cm	17.5 cm	20.0 cm	22.5 cm	25.0 cm	27.5 cm	30.0 cm	32.5 cm	35.0 cm	37.5 cm	40.0 cm	42.5 cm	45.0 cm	Cone Size
		N= 25 	207	242	310	414	1138	1346	1311	1380	1414	1414	1208	828	932	897	828	932	1173	1070	862	1/2 Inch
		Logger Started																				
		N= 1 	656	1104	724	552	690	862	724	552	621	1000	3554	0	0	0	0	0	0	0	0	1/2 Inch
		N= 2 	656	759	897	1070	1104	1276	1380	1104	621	690	794	1000	1104	1276	1311	1622	2346	2001	2312	1/2 Inch
		N= 3 	414	621	724	586	483	724	794	828	862	828	932	932	1000	1070	966	1104	1070	1242	1242	1/2 Inch
		N= 4 	828	897	1138	1518	1070	759	932	828	759	759	966	897	897	1208	1346	1690	1311	1380	1276	1/2 Inch
		N= 5 	724	828	759	828	897	1138	1242	1208	1104	897	966	1208	1380	1725	2346	1828	1587	1449	1656	1/2 Inch
		N= 6 	656	690	380	345	862	932	724	621	483	552	794	794	794	1208	1380	1104	1070	1242	0	1/2 Inch
		N= 7 	380	414	414	345	345	345	621	656	828	0	1070	794	897	966	1000	1138	1242	1138	1104	1/2 Inch
		N= 8 	552	656	794	794	794	794	794	966	1000	966	932	1104	1104	1104	1208	1276	1242	1208	1622	1/2 Inch
		N= 9 	276	380	1000	1173	724	552	656	724	759	897	828	759	828	794	862	759	656	690	724	1/2 Inch
		N= 10 	586	724	897	862	690	621	724	690	759	966	1104	1138	1104	1104	2277	2174	1346	1518	1794	1/2 Inch
		N= 11 	483	552	690	1070	1173	1380	1587	1587	1518	1346	1242	1104	1138	1276	1000	1276	1725	2001	1966	1/2 Inch
		N= 12 	345	276	345	656	794	656	448	448	552	656	656	690	828	862	1000	1138	1208	1104	1173	1/2 Inch
		N= 13 	276	483	794	794	828	1104	1070	932	932	759	690	724	690	656	656	862	897	932	1000	1/2 Inch
		N= 14 	483	552	586	586	794	897	759	621	690	621	586	759	1173	724	656	690	690	724	828	1/2 Inch
		N= 15 	552	586	380	310	794	690	690	586	552	448	414	586	897	862	966	1484	0	0	0	1/2 Inch
		N= 16 	828	862	586	483	483	690	897	897	828	759	759	759	828	759	656	724	862	966	1104	1/2 Inch
		N= 17 	380	448	621	828	828	1104	828	759	966	828	794	862	862	932	932	759	690	690	862	1/2 Inch
		N= 18 	656	828	483	414	483	897	1242	1208	1208	1104	1104	1138	1138	966	897	656	828	690	759	1/2 Inch
		N= 19 	310	483	414	862	828	966	966	932	897	897	932	1070	1104	932	794	794	794	794	794	1/2 Inch
		N= 20 	448	414	724	759	1104	1070	862	862	828	794	2450	1276	0	0	0	0	0	0	0	1/2 Inch
		N= 21 	242	483	656	794	1070	1070	1070	1000	1104	1104	1000	1070	1070	966	932	966	0	0	0	1/2 Inch
		N= 22 	483	586	1070	1070	966	1104	1000	1380	1828	1242	1276	1311	1208	1242	1449	1414	1622	0	0	1/2 Inch
		N= 23 	310	483	448	656	1484	1518	1346	1449	1208	1104	1070	794	828	862	794	724	690	759	690	1/2 Inch
		N= 24 	172	172	138	1449	1656	1484	1311	1242	1173	1208	1208	1276	2794	3174	2242	1828	1828	2588	2415	1/2 Inch
		N= 25 	138	724	794	1276	1760	3070	2208	1760	1587	1484	1518	1449	3174	0	2346	1794	2070	2070	2242	1/2 Inch
		Logger Started																				
HREC		N= 1 	794	966	966	966	0	0	0	34	483	586	656	724	759	759	0	0	0	0	0	1/2 Inch
		N= 2 	380	345	345	414	656	1518	1622	1622	1518	1380	1760	1346	1311	1242	1208	1000	966	1070	2346	1/2 Inch
		N= 3 	34	414	586	414	552	794	586	621	621	586	552	552	242	345	483	759	724	586	656	1/2 Inch
		N= 4 	276	414	448	552	345	448	552	621	656	621	483	414	414	656	552	586	690	656	828	1/2 Inch
		N= 5 	586	1242	1656	1760	1311	1208	1104	1070	1138	1138	1070	1138	1070	828	656	966	0	0	0	1/2 Inch
		N= 6 	310	552	586	448	448	414	138	138	172	207	242	448	656	586	656	656	897	0	0	1/2 Inch
		N= 7 	207	310	345	345	552	1070	1587	1311	0	1208	0	690	414	448	656	794	1346	0	0	1/2 Inch
		N= 8 	380	690	828	483	656	1138	621	207	207	242	483	345	310	414	656	828	656	656	724	1/2 Inch
		N= 9 	345	345	483	552	552	724	759	724	0	172	207	242	345	552	794	862	794	690	794	1/2 Inch
		N= 10 	34	345	0	34	380	207	34	104	586	1208	1104	794	724	1173	1208	1000	932	1070	897	1/2 Inch
		N= 11 	207	759	759	656	656	380	138	242	380	483	656	932	966	1000	932	1070	1138	1311	1380	1/2 Inch
		N= 12 	828	1104	586	448	724	1518	1690	1760	1622	2242	1208	1173	1414	1622	1380	1173	0	0	0	1/2 Inch
		N= 13 	380	932	1070	483	552	414	690	932	932	759	724	621	448	586	586	690	897	1000	1000	1/2 Inch
		N= 14 	483	862	897	966	932	794	862	966	1000	966	621	552	621	690	724	1208	1414	1449	1484	1/2 Inch
		N= 15 	242	276	138	414	483	483	759	724	759	483	448	448	414	242	242	345	345	932	2312	1/2 Inch
		N= 16 	483	483	828	862	1138	966	1070	828	862	1173	1070	1000	1104	1138	1208	1104	932	966	1311	1/2 Inch
		N= 17 	34	586	1070	448	552	656	656	690	794	862	862	724	621	483	552	483	621	690	862	1/2 Inch
		N= 18 	380	380	656	552	759	966	897	932	932	932	1138	862	862	794	862	897	1000	1138	1070	1/2 Inch
		N= 19 	690	828	862	656	724	1414	1242	1104	932	897	1000	656	0	759	724	724	759	759	1138	1/2 Inch
		N= 20 	310	690	966	724	380	276	932	1104	1104	828	690	690	932	897	794	690	690	621	794	1/2 Inch
		N= 21 	621	621	483	1276	1725	345	242	172	586	794	828	656	621	656	552	552	586	656	932	1/2 Inch
		N= 22 	656	724	759	1000	1000	1484	242	0	345	380	345	380	207	242	104	276	276	552	1242	1/2 Inch
		N= 23 	586	897	1380	1587	1242	1000	794	483	586	552	448	552	483	414	862	794	656	656	759	1/2 Inch
		N= 24 	656	552	621	690	862	448	310	345	621	345	345	897	1070	862	862	794	724	794	794	1/2 Inch
		N= 25 	310	724	1104	1346	966	724	724	724	621	414	414	380	448	1518	1794	1484	1208	2277	2484	1/2 Inch
		Logger Started																				
HREC		N= 1 	1000	1000	932	897	1000	1104	1449	1173	1242	932	966	1104	1000	1380	1242	1104	1242	0	0	1/2 Inch
		N= 2 	276	414	552	656	1138	1208	1104	932	690	621	483	483	414	380	380	414	1863	0	0	1/2 Inch
		N= 3 	380	724	621	483	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 4 	345	380	345	483	1104	1070	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 5 	310	448	483	966	1449	1070	1242	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 6 	104	345	656	552	586	828	897	828	690	794	759	828	828	794	1380	1276	1173	1000	1380	1/2 Inch
		N= 7 	828	1587	1138	1138	1173	1138	1173	932	759	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 8 	690	932	759	932	724	690	1000	1173	828	656	897	1070	1276	0	0	0	0	0	0	1/2 Inch
		N= 9 	621	724	483	483	656	828	724	621	862	897	794	828	1414	1138	1104	1484	1518	1587	1587	1/2 Inch
		N= 10 	552	1380	1587	1380	1518	1380	1070	862	897	862	932	932	897	794	897	1138	1242	1276	1484	1/2 Inch
		Logger Started																				
		N= 1 	656	794	828	794	759	828	966	1208	1414	1000	552	414	448	414	448	448	448	690	0	1/2 Inch
		N= 2 	552	656	448	242	310	345	380	621	932	932	794	621	414	380	656	759	1138	966	966	1/2 Inch
		N= 3 	172	621	690	724	1276	1414	1138	759	897	828	932	1311	1000	1414	1725	2518	2518	3036	0	1/2 Inch
		N= 4 	552	759	1760	2139	4830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 5 	380	690	1138	1104	828	828	897	1138	1760	1898	1380	1208	1276	1346	2001	1898	1932	1966	2036	1/2 Inch
		N= 6 	586	552	552	310	310	380	656	1276	1518	1414	1276	1311	1208	1138	1276	1104	1000	1208	0	1/2 Inch
		N= 7 	276	310	138	104	34	0	69	104	104	104	69	69	69	34	34	34	34	69	138	1/2 Inch
		N= 8 	794	794	1725	1414	1518	724	656	656	656	759	1000	1000	897	1138	1070	1000	2794	0	0	1/2 Inch
		N= 9 	242	448	656	794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	1/2 Inch
		N= 10 	586	656	794	966	1690	2277	2553	4416	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 11 	448	552	586	724	897	1828	2001	0	1104	1000	966	966	1518	1449	1622	0	1138	0	1622	1/2 Inch
		N= 12 	586	586	380	414	897	966	794	862	932	1070	656	552	656	724	1138	1173	1000	0	1138	1/2 Inch
		N= 13 	345	345	586	828	1656	2208	1932	0	1380	1346	1518	1484	1760	0	0	0	0	0	0	1/2 Inch
		N= 14 	656	656	448	828	1276	1587	1276	0	862	966	1208	1794	2829	0	1794	0	0	0	2174	1/2 Inch
		N= 15 	345	552	656	1070	1414	1311	1138	932	1000	932	897	862	897	1104	1242	1346	1311	1656	2070	1/2 Inch
		N= 16 	483	828	828	932	448	276	380	656	932	862	897	862	862	759	759	759	621	794	2656	1/2 Inch
		N= 17 	656	690	621	242	242	724	932	1276	1380	1311	794	380	207	138	172	345	0	0	0	1/2 Inch
		N= 18 	345	448	1138	828	656	828	1104	862	828	1104	1484	1449	932	0	862	966	862	1208	1622	1/2 Inch
		N= 19 	448	380	207	310	1898	0	1828	1932	2242	3416	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 20 	345	759	586	483	828	2277	0	1828	1587	1656	1518	1484	1484	2036	0	0	0	0	0	1/2 Inch
		Logger Started																				
HREC		N= 1 	104	0	104	345	794	1104	1414	1484	1863	2932	2346	2208	1966	2001	2312	2277	2380	2726	3036	1/2 Inch
		N= 2 	586	828	794	794	862	1138	1518	1587	1138	276	0	621	1587	1828	1828	2312	2656	1828	0	1/2 Inch
		N= 3 	586	656	656	656	483	586	69	207	276	1138	2070	483	0	0	1863	2174	2036	2070	2174	1/2 Inch
		N= 4 	242	448	448	794	1346	1208	1311	1346	1414	1484	1587	1242	862	1000	1449	1276	759	759	1070	1/2 Inch
		N= 5 	242	276	656	1311	724	1380	1622	2001	2174	2277	2277	2001	1760	1794	2553	0	0	0	0	1/2 Inch
		N= 6 	380	310	242	380	483	483	724	759	759	897	1242	1449	1449	1622	1794	1932	1932	2380	2588	1/2 Inch
		N= 7 	138	552	690	794	966	1173	1104	1138	1208	1311	1276	1484	2415	2070	1828	2036	2346	2726	2760	1/2 Inch
		N= 8 	172	172	104	207	483	1138	1208	1346	1311	1622	1656	1760	1484	1484	1966	2001	2242	2070	2139	1/2 Inch
		N= 9 	586	586	690	1208	1346	1380	1484	1518	1690	1794	2484	2518	2553	2691	0	0	0	0	0	1/2 Inch
		N= 10 	0	138	380	276	759	1138	1208	1760	1760	1725	1898	2208	2208	2139	1898	1760	1656	1690	1932	1/2 Inch
		N= 11 	414	724	621	586	932	621	552	724	1449	1690	1828	1966	2139	2208	2518	2070	0	0	0	1/2 Inch
		N= 12 	586	621	656	1173	1414	1587	1380	1414	1346	1380	1414	1690	3416	0	0	0	0	0	0	1/2 Inch
		N= 13 	724	828	862	966	1000	1173	1346	1276	1622	1760	1656	1828	1863	1932	2242	2277	2518	2484	2518	1/2 Inch
		N= 14 	34	69	828	828	897	1518	1690	2208	1828	1828	1725	1518	1414	1863	2139	2415	1898	2001	2174	1/2 Inch
		N= 15 	172	724	1104	1276	1242	1276	932	794	1208	1656	1208	1138	932	1208	1966	2036	2242	2588	2898	1/2 Inch
		N= 16 	552	621	690	586	656	1104	932	1070	1138	1622	1518	1276	1208	1138	1242	1242	1242	1725	0	1/2 Inch
		N= 17 	552	690	690	932	1311	1484	1966	1518	1622	1414	1311	1587	1932	1828	2001	2346	2726	2932	0	1/2 Inch
		N= 18 	172	656	862	1138	1484	1380	1311	1311	1311	1104	1208	1138	1208	1311	1725	2036	2139	2277	0	1/2 Inch
		N= 19 	207	242	414	483	448	862	1346	1311	1484	1449	1380	1587	1587	1622	1690	1898	2139	2346	2588	1/2 Inch
		N= 20 	242	483	414	966	1311	1414	1760	1863	2070	2139	2277	2070	1828	2070	2242	2242	2036	2726	3036	1/2 Inch
		N= 21 	34	34	656	656	828	1138	1242	1414	1380	1311	1380	2656	2380	2346	1966	2174	2518	2242	2312	1/2 Inch
		N= 22 	207	207	966	932	1070	1622	1656	1656	1794	1587	1449	1138	1173	1276	1276	1966	0	0	0	1/2 Inch
		N= 23 	276	380	414	448	586	966	862	932	932	724	656	552	724	1138	1760	2070	2208	2898	3174	1/2 Inch
		N= 24 	0	0	0	0	483	0	207	483	690	932	1414	1138	1104	724	656	448	656	1138	2346	1/2 Inch
		N= 25 	552	724	966	759	794	932	1242	1276	1276	1242	1380	1898	2450	2760	3036	3588	3588	2967	2794	1/2 Inch
		N= 26 	448	552	690	552	862	1346	1587	1725	1966	2208	2139	2001	3830	0	0	0	0	0	0	1/2 Inch
		N= 27 	0	0	862	862	794	1380	1587	1725	1518	1656	1414	1346	1380	2070	2864	0	0	0	0	1/2 Inch
		N= 28 	345	724	759	794	1311	1690	1380	1587	1587	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 29 	724	656	724	862	1276	1725	1794	1690	1587	1656	1725	1898	1898	1449	0	724	0	0	2656	1/2 Inch
		N= 30 	138	207	310	448	897	1070	1138	1000	621	621	690	897	2829	1690	0	2277	2588	2794	3484	1/2 Inch
		N= 31 	483	586	483	552	897	1173	1518	1587	1484	1518	1690	2070	2036	2312	2588	0	0	0	0	1/2 Inch
		N= 32 	172	483	414	207	0	207	1484	2036	2380	2277	2139	2139	2312	2139	2518	3416	3381	2380	3070	1/2 Inch
		N= 33 	380	345	345	656	724	794	1070	1311	1622	2001	2036	2277	3381	0	0	0	0	0	0	1/2 Inch
		N= 34 	448	483	586	828	932	1242	1242	1311	1760	1794	1690	1794	1863	2001	2174	2794	3002	3278	3726	1/2 Inch
		N= 35 	104	104	104	586	724	862	1104	1138	1208	1138	1242	1656	1794	2139	2760	2070	2277	2242	2450	1/2 Inch
		N= 36 	69	621	1311	1484	1208	1242	1138	1346	1449	966	966	1242	1656	1898	1794	1863	1828	0	1587	1/2 Inch
		N= 37 	621	656	0	0	0	0	242	759	1104	966	1138	1690	2036	2001	2380	2588	2932	2553	3105	1/2 Inch
		N= 38 	345	0	0	69	621	1622	1760	1656	1690	1794	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 39 	345	414	586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 40 	380	345	380	552	1000	1760	1690	1484	1656	1622	1725	1656	1587	1346	1276	1414	1622	1898	2139	1/2 Inch
		N= 41 	138	242	759	1104	1242	1414	1380	1966	1828	1622	1208	1242	1898	1725	1380	1380	1414	2277	2691	1/2 Inch
		N= 42 	242	242	483	0	0	138	724	621	724	897	1138	862	1138	1242	1725	2001	2174	0	2174	1/2 Inch
		N= 43 	380	448	242	448	794	1311	1484	1484	1587	1484	1484	1587	1690	1760	1966	2415	4347	0	0	1/2 Inch
		N= 44 	656	380	0	34	345	966	1794	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 45 	207	656	656	828	1138	1346	1380	1173	966	1000	1276	1622	2001	2691	2484	2553	3002	0	0	1/2 Inch
		N= 46 	276	552	690	862	966	966	897	414	380	380	759	1725	1656	1656	1725	2139	3243	3588	3622	1/2 Inch
		N= 47 	34	69	69	104	207	242	932	966	1138	1380	1587	1690	1690	1760	2208	2277	2450	2518	2450	1/2 Inch
		N= 48 	0	0	0	0	0	172	448	448	483	586	586	552	483	448	448	380	0	0	0	1/2 Inch
		N= 49 	310	690	656	242	310	966	1449	1346	1311	1449	1794	1656	1070	621	862	1000	1276	0	0	1/2 Inch
		N= 50 	172	310	345	724	1070	1414	1414	1380	828	828	897	724	690	1242	1138	1208	1449	1794	4071	1/2 Inch
		Logger Started																				
HREC	B1S1	N= 1 	276	759	0	414	483	724	1104	759	0	724	656	759	897	1690	2415	0	1932	2864	0	1/2 Inch
		N= 2 	380	0	380	1000	1449	1311	1242	1173	2174	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 3 	0	0	207	1138	1208	1760	1898	0	1414	1622	794	0	0	0	0	0	0	0	0	1/2 Inch
		N= 4 	34	34	138	1276	1346	1276	1484	1622	621	483	0	690	897	1000	1656	2001	0	0	0	1/2 Inch
		N= 5 	345	759	172	310	414	932	1242	1449	3105	1828	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 6 	552	966	1208	1346	1484	2174	2139	1380	1966	0	1104	1208	1173	1346	1587	0	0	0	0	1/2 Inch
		N= 7 	345	345	966	690	483	1208	1966	1656	1000	794	690	2691	0	0	0	0	0	0	0	1/2 Inch
		N= 8 	483	586	207	207	276	380	621	1000	1173	1104	1104	1208	2484	0	0	0	0	0	0	1/2 Inch
		N= 9 	0	138	242	345	656	1173	1484	1484	1518	1484	1346	0	0	0	0	0	0	0	0	1/2 Inch
		N= 10 	448	483	828	1000	1311	0	1414	1208	1208	0	1242	0	0	0	0	0	0	0	0	1/2 Inch
		N= 11 	69	414	552	483	690	1070	1414	1518	1276	1380	1242	414	138	0	380	586	656	897	794	1/2 Inch
		N= 12 	345	483	1104	794	862	1173	794	0	932	759	828	897	897	656	0	897	1414	2242	3795	1/2 Inch
		N= 13 	172	483	448	483	656	656	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 14 	207	380	552	932	1070	1760	1725	1276	1173	1000	862	1276	1242	1104	1380	0	0	0	0	1/2 Inch
		N= 15 	0	276	483	621	621	690	1484	1104	966	1690	1656	1173	1518	1311	1966	0	0	0	0	1/2 Inch
		N= 16 	104	69	552	621	586	656	552	1346	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 17 	552	414	0	448	897	794	1138	862	794	759	690	1000	966	1138	1104	621	0	0	0	1/2 Inch
		N= 18 	380	690	552	621	1173	2898	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 19 	138	345	483	483	483	1070	1863	3588	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 20 	345	724	1242	1311	1276	1070	759	759	794	794	897	966	1000	1000	1000	1173	1138	1346	1208	1/2 Inch
		N= 21 	380	1000	1000	1104	1311	1380	828	794	690	759	724	1414	0	759	1380	0	0	0	0	1/2 Inch
		N= 22 	172	621	172	138	242	0	310	552	690	552	690	1173	0	2312	1828	0	2380	2312	0	1/2 Inch
		N= 23 	483	552	0	1070	1346	1449	1484	1242	1173	1104	3450	0	0	0	0	0	0	0	0	1/2 Inch
		N= 24 	207	310	724	586	1173	1173	1311	1242	1346	2967	2450	862	0	0	0	0	0	0	0	1/2 Inch
		N= 25 	586	586	552	828	828	1484	1518	1380	1311	1208	794	690	759	1242	1000	2656	2001	3278	3312	1/2 Inch
		Logger Started																				
	B1S1	N= 1 	414	483	345	276	586	1138	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 2 	0	0	172	966	414	242	276	1070	1311	828	414	448	414	759	2898	0	0	0	0	1/2 Inch
		N= 3 	104	207	552	586	1173	1656	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 4 	69	69	552	621	414	621	794	1000	1173	1070	1104	862	897	966	897	897	0	0	966	1/2 Inch
		N= 5 	276	656	621	483	586	345	345	483	1173	310	414	552	828	897	932	794	0	138	862	1/2 Inch
		N= 6 	242	414	345	656	1276	1380	1242	932	1070	1138	2346	3105	0	0	0	0	0	0	0	1/2 Inch
		N= 7 	207	483	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 8 	310	897	966	1138	897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 9 	0	104	586	966	1173	1208	1484	1587	1346	794	0	448	414	380	310	207	0	448	1863	1/2 Inch
		N= 10 	448	690	2242	2691	1966	1276	1828	1587	1242	1173	1208	1346	1276	1242	1380	1690	2001	2036	2174	1/2 Inch
		N= 11 	345	0	552	794	656	621	828	862	862	1656	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 12 	242	0	1863	2346	2967	1587	2001	2139	2553	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 13 	104	276	3208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 14 	310	345	690	656	724	828	794	586	414	242	345	310	448	621	932	932	794	724	794	1/2 Inch
		N= 15 	448	586	552	552	656	759	897	1208	1725	966	1311	1380	1414	1346	1173	1208	1138	1173	1311	1/2 Inch
		N= 16 	414	656	897	932	897	932	828	724	690	724	690	656	586	724	724	690	828	932	897	1/2 Inch
		N= 17 	0	0	0	310	1346	1276	932	2001	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 18 	483	690	1414	897	1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 19 	138	310	242	276	414	448	759	1104	2346	0	1311	2932	1828	0	1208	0	0	1966	0	1/2 Inch
		N= 20 	310	380	345	724	1070	1656	1208	966	932	828	862	897	828	724	794	0	0	0	0	1/2 Inch
		N= 21 	724	897	794	690	380	448	586	759	966	1000	1070	1138	1208	1208	759	621	0	552	897	1/2 Inch
		N= 22 	552	448	724	966	932	1208	1276	1276	1138	932	897	862	621	380	345	2760	0	0	0	1/2 Inch
		N= 23 	69	69	0	207	1587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 24 	414	862	966	1449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1/2 Inch
		N= 25 	172	310	0	380	862	1311	1484	483	897	2001	3450	0	0	0	0	0	0	0	0	1/2 Inch
