SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,BriMax,AegTri,BroHor,BroDia,MadGra,VicSat,LatSph,DaucPusil,GerDis,EupSpa,AveBar,GalPar,Torilis,TriCil,Sidalcea,TriMicroceph,ClaPur,Lomatium,MicCal,DicCap,CenMil,BroSter,HypGla,AirCar,CarPac,,,,,,
HREC,1,1,15,7,6,1,2,6,1,,1,2,2,,,1,,2,,1,,,,,,,,,1,,,,,,,
HREC,1,1,16,8,6,,3,5,1,,1,2,1,1,1,2,,1,,,,,,,,,,,,1,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,AegTri,BrImax,BroHor,BroDia,MadGra,VicSat,LatSph,DaucPusil,Sidalcea,ClaPur,LupBic,EroBot,CarPac,LotMic,HypGla,CenMil,TriMicroceph,TriMicrodon,Bare,GalPar,Rock,EupSpa,DicCap,TriCil,DicCap,,,,,
HREC,1,1,1,1,7,1,,6,2,2,2,2,1,2,,2,2,1,,,,,,,,,,,,,,,,,,
HREC,1,1,2,2,7,,,5,3,3,2,2,,2,1,2,,,2,1,1,,,,,,,,,,,,,,,
HREC,1,1,3,3,7,,1,5,2,2,,2,2,,,2,1,1,1,,,1,1,,,,,,,,,,,,,
HREC,1,1,4,4,7,1,,5,3,2,,2,2,1,,1,,,,2,2,,2,1,,,,,,,,,,,,
HREC,1,1,5,5,7,1,,5,3,2,2,2,2,,2,1,1,,,2,,,2,,,,,,,,,,,,,
HREC,1,1,6,6,7,2,,5,2,2,2,2,2,,,1,,1,,1,,1,1,,,,,,,,,,,,,
HREC,1,1,7,7,7,,2,6,1,,1,2,1,1,1,1,,,,2,,,,,,,,,,,,,,,,
HREC,1,1,8,8,7,,2,5,2,,2,2,1,1,,2,,,,1,,1,,,10,1,,,,,,,,,,
HREC,1,1,9,1,8,,1,5,3,2,3,2,1,,2,2,2,1,,1,1,,,,,1,,,,,,,,,,
HREC,1,1,10,2,8,1,,5,2,2,3,2,1,,1,2,1,1,,,,1,,,10,,10,,,,,,,,,
HREC,1,1,11,3,8,1,,5,3,2,2,2,3,1,,1,1,,,,2,,,,,,,,,,,,,,,
HREC,1,1,12,4,8,1,,5,3,3,0,3,2,2,2,,,,,3,,,,1,,,,1,,,,,,,,
HREC,1,1,13,5,8,1,3,5,3,2,2,3,2,,1,,,1,,2,,,,,,,,,,,,,,,,
HREC,1,1,14,6,8,,3,5,2,3,,3,2,,,1,,1,,,,1,2,,,,,,,,,,,,,
HREC,1,1,15,7,8,,0,5,2,0,,3,2,,1,,,1,,2,,,,,,,,,1,1,,,,,,
HREC,1,1,16,8,8,,3,5,2,1,1,2,2,,1,2,,,,1,,1,,,20,2,,,,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,AegTri,BriMax,BroHor,BroDia,HypGla,Sidalcea,CenMil,CarPac,TriMicroceph,Torilis,ClaPur,DaucPusil,MadGra,TriCil,VicSat,LacSer,EroBot,GalPar,Linanthus,SisBel,MicCal,Bare,PlaNot,LotMic,BroSter,LatSph,,,,
HREC,1,2,1,1,1,3,2,3,3,,2,2,2,2,1,2,1,1,1,,,,,,,,,,,,,,,,,
HREC,1,2,2,2,1,,3,3,3,,1,2,,2,1,,3,4,2,2,,,,,,,,,,,,,,,,
HREC,1,2,3,3,1,,4,4,3,,1,,,,1,1,2,2,3,,2,1,,,,,,,,,,,,,,
HREC,1,2,4,4,1,,4,3,2,2,1,,,,,,2,3,3,2,,,,,,,,,,,,,,,,
HREC,1,2,5,5,1,2,3,4,2,,3,1,2,,3,,2,4,2,,2,,1,1,,,,,,,,,,,,
HREC,1,2,6,6,1,,3,3,2,2,2,1,2,2,,,3,2,2,,2,,,1,1,2,,,,,,,,,,
HREC,1,2,7,7,1,1,2,4,2,,1,1,3,,1,,3,4,2,,,,,,1,,2,,,,,,,,,
HREC,1,2,8,8,1,1,4,2,3,,2,1,2,,,,3,3,2,1,2,,,,,,,25,1,1,2,,,,,
HREC,1,2,9,1,2,3,2,2,4,,4,2,2,,,,2,3,2,,,,,,,,,,2,,,,,,,
HREC,1,2,10,2,2,1,2,3,3,,3,2,0,,,,0,3,2,,,,,2,,,,30,,,,,,,,
HREC,1,2,11,3,2,2,2,2,3,,3,2,2,,,,2,3,2,,,,,2,,,,40,,,,,,,,
HREC,1,2,12,4,2,,2,2,3,,3,0,,,,,1,3,2,,,,2,,,,,35,,1,,1,,,,
HREC,1,2,13,5,2,,3,2,2,,3,0,1,,2,,3,3,2,,,,,,,,,15,,1,,,,,,
HREC,1,2,14,6,2,,3,3,2,,2,2,2,,2,,3,3,1,1,,,,,1,,,,,2,,,,,,
HREC,1,2,15,7,2,2,2,2,3,,3,,,,,,2,4,2,,,,,,1,,,4,,2,,,,,,
HREC,1,2,16,8,2,,3,2,3,,2,,,,,,2,3,2,1,,,,,,1,,,,2,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,AveBar,AegTri,BrImax,BroHor,ClaPur,DaucPusil,MadGra,HypGla,Sidalcea,CenMil,TriMicroceph,GalPar,EupSpa,TriCil,LatSph,CarPac,LotMic,Bare,Linanthus,MicCal,CalCil,LotWra,VicSat,BroSter,Torilis,Shieldseed,,,,,
