SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Bare,GalPar,EupSpa,Torilis,Scandix,TriCil,EroCic,DicCap,LatSph,GerMol,CarPac,LotMic,,,,
HREC,1,2,3,3,1,,,2,2,1,,1,,1,10,1,2,,,,,,,
HREC,1,2,4,4,1,2,,2,,2,,2,,1,3,,1,1,,,,,,
HREC,1,2,5,5,1,,,3,,4,,1,,1,,,1,,1,,,,,
HREC,1,2,6,6,1,1,,2,,2,,2,2,1,,,1,,,,,,,
HREC,1,2,7,7,1,,2,2,,4,,,,1,8,,,,,2,,,,
HREC,1,2,8,8,1,2,,2,,3,,2,,,12,,1,,,2,,,,
HREC,1,2,9,1,2,,1,3,2,2,,,,1,,,1,,,2,1,1,,
HREC,1,2,10,2,2,2,1,3,,2,,1,,2,,,1,,,,,,,
HREC,1,2,11,3,2,,,3,,3,1,1,,,25,,,1,,,,,,
HREC,1,2,12,4,2,2,1,2,,3,,1,,1,,,1,,,,,,,
HREC,1,2,13,5,2,,,3,1,3,,,,2,,,2,,,,,,,
HREC,1,2,14,6,2,,,2,,2,,2,,,3,,2,,,,,,,
HREC,1,2,15,7,2,2,2,2,,3,,,,,,,1,,,,,,,
HREC,1,2,16,8,2,1,2,3,,4,,1,,1,,,1,,,,,,,
SiteName,BlockNo,PlotNo,Subplot No,Subplot X,Subplot Y,VicSat,LupBic,GerDis,Torilis,Scandix,EupSpa,TriCil,GerMol,GalPar,ClaPer,Bare,LotMic,EroCic,LatSph,PlaNot,TriBif,MicCal,DicCap,SanBip
HREC,1,2,1,1,3,2,,3,,2,2,2,1,2,1,,,,,,,,,
HREC,1,2,2,2,3,2,,3,,3,1,,,2,,8,,,,,,,,
HREC,1,2,3,3,3,2,2,2,,3,,1,,,,,1,2,1,,,,,
HREC,1,2,4,4,3,1,2,2,2,3,,,2,,,20,,1,,,,,,
HREC,1,2,5,5,3,1,1,1,,3,,,,,,,1,2,,1,1,,,
HREC,1,2,6,6,3,1,,2,,3,,2,,,,3,1,,,,,2,,
HREC,1,2,7,7,3,,,,,2,,,,,,10,,,1,,,,,
HREC,1,2,8,8,3,,1,2,,4,,,,1,,,,1,1,,,,,
HREC,1,2,9,1,4,1,,3,,,1,2,,,,,1,2,1,,,,,
HREC,1,2,10,2,4,2,,3,,2,1,,,1,,10,,1,,,,,,
HREC,1,2,11,3,4,1,,2,1,2,,,,1,,,,1,1,,,,,
